feature,final_exploratory_category,feature_family,dominant_direction,direction_consistency,fdr_interpretation,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,global_fdr_significant,family_fdr_significant,raw_p_less_0_05,candidate_support_tier_preliminary
kurtosis,primary_exploratory_candidate,time-domain statistics,increase,0.75,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,5.98,5.885,0.9924999999999996,24.6866023885912,15,5,0,0.036233901977539,0.5333333333333333,0.3274999999999999,1.965,1,0,0.5333333333333333,0.4330064047960735,0.3623390197753899,0,0,1,raw_p_effect_direction_supported
QRS_mean,primary_exploratory_candidate,ECG morphology and signal energy,increase,0.6,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,0.1344780522499999,0.1513134615,0.01035768875,5.902619880128842,12,8,0,0.0239505767822265,0.5714285714285714,-0.0008321007499999,0.0297389859999999,0,0,0.5714285714285714,0.4330064047960735,0.1197528839111325,0,0,1,exploratory
entropyProfiled_maximum_sampleEntropy,primary_exploratory_candidate,entropy-profile aggregate features,decrease,0.65,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,2.3825,2.3425,-0.2550000000000001,-14.03685937894472,5,13,2,0.0346699631509864,-0.5672514619883041,-0.615,0.0,0,0,0.5672514619883041,0.4330064047960735,0.2773597052078912,0,0,1,exploratory
fuzzyEntropy,secondary_exploratory_candidate,entropy and complexity,decrease,0.65,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,0.2299999999999999,0.2375,-0.0199999999999999,-10.81871345029239,5,13,2,0.0639959686360788,-0.4970760233918128,-0.08,0.0,0,0,0.4970760233918128,0.4330064047960735,0.311622370582791,0,0,0,exploratory
fd_median,secondary_exploratory_candidate,fractal-dimension summary features,decrease,0.65,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,2.9525,1.86,-0.1624999999999999,-5.47289481032351,7,13,0,0.0896949768066406,-0.4380952380952381,-0.6850000000000002,0.105,0,0,0.4380952380952381,0.4532000091079297,0.3419609069824218,0,0,0,exploratory
entropyProfiled_standardDeviation_sampleEntropy,secondary_exploratory_candidate,entropy-profile aggregate features,decrease,0.55,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,0.1325,0.14,-0.0149999999999999,-11.43790849673203,3,11,6,0.0958692326959082,-0.5047619047619047,-0.0424999999999999,0.0,0,0,0.5047619047619047,0.4532000091079297,0.3365066336124196,0,0,0,exploratory
HRV_pNN50,secondary_rhythm_sensitive_candidate,HRV,decrease,0.65,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,44.7382946925,30.966068795,-11.34579536,-21.29314522835047,7,13,0,0.026641845703125,-0.5619047619047619,-16.89723973500001,0.7701153574999999,0,0,0.5619047619047619,0.4330064047960735,0.1063385009765624,0,0,1,exploratory
HRV_MeanNN,secondary_rhythm_sensitive_candidate,HRV,increase,0.75,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,626.025792225,642.4071739,20.75949374999993,3.971999390150666,15,5,0,0.0531692504882812,0.4952380952380952,1.633756149999954,67.20964850000001,1,0,0.4952380952380952,0.4330064047960735,0.1063385009765624,0,0,0,exploratory
fd_minimum,exploratory_or_downgraded,fractal-dimension summary features,no_change,0.55,Did not survive global or family-level FDR correction; interpret as exploratory candidate evidence.,20,0.01,0.01,0.0,0.0,2,7,11,0.0666163699686267,-0.6666666666666666,-0.0074999999999999,0.0,0,3,0.6666666666666666,0.4330064047960735,0.3419609069824218,0,0,0,exploratory
