feature,final_exploratory_category,n_agree,n_disagree,validated_agreement_count_from_pipeline_summary,validated_agreement_percent_from_pipeline_summary,descriptive_clinical_disagreement_context,clinical_context_caution,feature_family,cohort_dominant_direction,cohort_wilcoxon_p,cohort_direction_consistency,n_patient_pairs_available,n_neutral_no_change,n_missing_pairs,prop_agree,prop_disagree,prop_neutral_no_change,disagreeing_patient_ids,neutral_no_change_patient_ids,sensitivity_robustness_label,loo_stability_label
kurtosis,primary_exploratory_candidate,15,5,15/20,75.0,BBB-positive patients: 3/4 disagreed; paced_or_bbb-positive patients: 4/6 disagreed.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,time-domain statistics,increase,0.036233901977539,0.75,20,0,0,0.75,0.25,0.0,27245; 491; 638; 88503; 96879,,robust,stable
QRS_mean,primary_exploratory_candidate,12,8,12/20,60.0,BBB-positive patients: 4/4 disagreed; suggests QRS feature interpretation may be BBB-sensitive.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,ECG morphology and signal energy,increase,0.0239505767822265,0.6,20,0,0,0.6,0.4,0.0,26502; 27245; 30851; 57091; 638; 8452; 96305; 96879,,moderate,stable
entropyProfiled_maximum_sampleEntropy,primary_exploratory_candidate,13,5,13/20,65.0,No specific clinical disagreement pattern highlighted in the validated summary.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,entropy-profile aggregate features,decrease,0.0346699631509864,0.65,20,2,0,0.65,0.25,0.1,491; 80436; 88503; 96305; 96879,26502; 30851,robust,stable
fuzzyEntropy,secondary_exploratory_candidate,13,5,13/20,65.0,Continuous_AF-positive patients: 2/3 disagreed; mechanical_support-positive patients: 2/3 disagreed.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,entropy and complexity,decrease,0.0639959686360788,0.65,20,2,0,0.65,0.25,0.1,638; 80436; 88503; 90396; 96879,26502; 59285,robust,stable
fd_median,secondary_exploratory_candidate,13,7,13/20,65.0,No specific clinical disagreement pattern highlighted in the validated summary.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,fractal-dimension summary features,decrease,0.0896949768066406,0.65,20,0,0,0.65,0.35,0.0,26502; 27245; 30851; 80436; 88503; 906; 96305,,moderate,stable
entropyProfiled_standardDeviation_sampleEntropy,secondary_exploratory_candidate,11,3,11/20,55.0,No specific clinical disagreement pattern highlighted in the validated summary.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,entropy-profile aggregate features,decrease,0.0958692326959082,0.55,20,6,0,0.55,0.15,0.3,80436; 88503; 96879,26502; 30851; 491; 59285; 638; 96305,moderate,stable
HRV_pNN50,secondary_rhythm_sensitive_candidate,13,7,13/20,65.0,No specific clinical disagreement pattern highlighted in the validated summary.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,HRV,decrease,0.026641845703125,0.65,20,0,0,0.65,0.35,0.0,26502; 30851; 59285; 638; 70447; 96305; 96879,,robust,stable
HRV_MeanNN,secondary_rhythm_sensitive_candidate,15,5,15/20,75.0,Continuous_AF-positive patients: 2/3 disagreed; interpret as rhythm-sensitive.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,HRV,increase,0.0531692504882812,0.75,20,0,0,0.75,0.25,0.0,26398; 30071; 638; 80436; 96879,,robust,stable
fd_minimum,exploratory_or_downgraded,11,9,11/20,55.0,No specific clinical disagreement pattern highlighted in the validated summary.,Clinical disagreement summaries are descriptive only and were not used as formal association tests.,fractal-dimension summary features,no_change,0.0666163699686267,0.55,20,0,0,0.55,0.45,0.0,1049; 1855; 26502; 27245; 30071; 30851; 638; 90396; 96305,,moderate,stable
