feature,feature_family,lmm_status,n_segments,n_patients,beta_condition_HI,p_condition_HI,converged,lmm_direction,primary_dominant_direction,lmm_agrees_with_primary_direction,primary_wilcoxon_p,primary_rank_biserial_effect_size,primary_direction_consistency,notes,p_condition_HI_fdr,lmm_raw_p_less_0_05,lmm_fdr_significant
permutationEntropy,entropy and complexity,fit_success,1260,20,-0.08359805623507355,0.00574181871487418,1,decrease,increase,0.0,0.8405177356132087,-0.0526315789473684,0.6,,0.009930197280764934,1,1
fd_kurtosis,fractal-dimension summary features,fit_success,1260,20,0.11368051814215549,0.005919925301994479,1,increase,tie_or_mixed,,0.956329345703125,0.019047619047619,0.5,,0.009930197280764934,1,1
fd_variance,fractal-dimension summary features,fit_success,1260,20,0.05604083967675064,0.010120452535986483,1,increase,decrease,0.0,0.7561664581298828,-0.0857142857142857,0.6,,0.016445735370978033,1,1
R_amp_std,ECG morphology and signal energy,fit_success,1259,20,-0.11839875357859221,0.01391865459498141,1,decrease,decrease,1.0,0.4304332733154297,-0.2095238095238095,0.55,,0.02193242542239495,1,1
HRV_SDNN,HRV,fit_success,1259,20,-0.1300722942585207,0.01873352551208829,1,decrease,decrease,1.0,0.5705966949462891,-0.1523809523809524,0.55,,0.02865127431260562,1,1
HRV_RMSSD,HRV,fit_success,1259,20,-0.12472778697085622,0.026852146445679414,1,decrease,tie_or_mixed,,0.6476554870605469,-0.1238095238095238,0.5,,0.03989461757643798,1,1
skewness,time-domain statistics,fit_success,1260,20,-0.05583719634199738,0.04198835484103949,1,decrease,increase,0.0,0.7841262817382812,-0.0761904761904762,0.55,,0.060649845881501484,1,0
fd_bandPower,fractal-dimension summary features,fit_success,1260,20,0.1080050919453805,0.05644303440326202,1,increase,no_change,0.0,1.0,0.0,1.0,,0.0793253456478277,0,0
entropyProfiled_skewness_sampleEntropy,entropy-profile aggregate features,fit_success,1260,20,0.047069398623717826,0.07309231043120457,1,increase,increase,1.0,0.2454872131347656,0.3047619047619048,0.6,,0.09804570117566135,0,0
detrendedFluctuation,fractal and nonlinear dynamics,fit_success,1260,20,0.06277035205803826,0.073534275881746,1,increase,decrease,0.0,0.9176178742687192,-0.0294117647058823,0.45,,0.09804570117566135,0,0
variance,time-domain statistics,fit_success,1260,20,0.03603903638557903,0.1008132199506033,1,increase,no_change,0.0,0.8442232365389633,-0.0641025641025641,0.4,,0.13105718593578428,0,0
median,time-domain statistics,fit_success,1260,20,-0.03507446845273745,0.13670252797142743,1,decrease,tie_or_mixed,,0.5961126657233238,-0.1648351648351648,0.35,,0.17337881596376162,0,0
positiveToNegativeSampleRatio,time-domain statistics,fit_success,1260,20,-0.03517178095527804,0.16770146088091387,1,decrease,tie_or_mixed,,0.9256271491017656,0.0238095238095238,0.5,,0.2076303801382743,0,0
entropyProfiled_kurtosis_sampleEntropy,entropy-profile aggregate features,fit_success,1260,20,0.03577259960568388,0.19191835627114562,1,increase,increase,1.0,0.4304332733154297,0.2095238095238095,0.55,,0.23208731456045517,0,0
QRS_std,ECG morphology and signal energy,fit_success,1255,20,0.0565673125151278,0.19653248098149512,1,increase,tie_or_mixed,,0.8983173370361328,0.0380952380952381,0.5,,0.23226565934176696,0,0
distributionEntropy,entropy and complexity,fit_success,1260,20,0.046561263793089294,0.21631693447874445,1,increase,decrease,0.0,0.7758498559997214,-0.0808823529411764,0.45,,0.24996623539766025,0,0
renyiEntropy,entropy and complexity,fit_success,1260,20,-0.04676345052669655,0.34935424517989677,1,decrease,increase,0.0,0.5731301472598336,0.1473684210526315,0.55,,0.39492219020336156,0,0
fd_standardDeviation,fractal-dimension summary features,fit_success,1260,20,0.019689854670763573,0.3615892467582923,1,increase,decrease,0.0,0.8123550415039062,-0.0666666666666666,0.6,,0.40005618790279146,0,0
meanAbsoluteValue,time-domain statistics,fit_success,1260,20,0.012949382725237208,0.5515390077945708,1,increase,decrease,0.0,0.8243083271555138,-0.0578947368421052,0.55,,0.5975005917774516,0,0
petrosianFd,fractal and nonlinear dynamics,fit_success,1260,20,-0.01821499062943058,0.6277279164442893,1,decrease,no_change,0.0,0.763024600552995,0.1111111111111111,0.6,,0.6661602378592457,0,0
kurtosis,time-domain statistics,fit_success,1260,20,0.011686325945159452,0.8298022923040005,1,increase,increase,1.0,0.036233901977539,0.5333333333333333,0.75,,0.8629943839961605,0,0
standardDeviation,time-domain statistics,fit_success,1260,20,-0.003512921786535386,0.8723460141427537,1,decrease,tie_or_mixed,,0.8751691459232763,0.0476190476190476,0.35,,0.8894508379494744,0,0
signal_energy,ECG morphology and signal energy,fit_success,1259,20,0.0026263903332335034,0.9629150926206829,1,increase,increase,1.0,0.1893482208251953,0.3428571428571428,0.65,,0.9629150926206829,0,0
