feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,global_fdr_significant,family_fdr_significant,raw_p_less_0_05,candidate_support_tier_preliminary,missing_count,missing_percent,paired_patient_count,missingness_flag,cluster_id,cluster_size,cluster_type,is_cluster_representative,evidence_raw_p_0_05,evidence_raw_p_0_10,evidence_direction_consistency,evidence_strong_direction_consistency,evidence_effect_size,evidence_strong_effect_size,evidence_bootstrap_ci_excludes_zero,evidence_family_fdr,evidence_global_fdr,evidence_redundancy_representative,score_raw_p,score_effect_size,score_direction_consistency,score_bootstrap,score_fdr,score_redundancy,score_missingness,preliminary_priority_score,preliminary_priority_tier,preliminary_rank,included_in_preliminary_shortlist
sampleEntropy,entropy and complexity,20,0.2675,0.285,-0.0349999999999999,-16.27536231884058,6,13,1,decrease,0.65,0.0640685250312829,-0.4842105263157895,-0.1024999999999999,0.0025,0,0,0.4842105263157895,0.4330064047960735,0.311622370582791,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_004,3,correlated_cluster_abs_rho_ge_0_85,0,0,1,1,0,1,0,0,0,0,0,0.7363281533619228,0.7263157894736842,0.46153846153846156,0.0,0.0,0.0,1.0,4.348364808748137,exploratory_priority_for_review,11,0
entropyProfiled_total_sampleEntropy,entropy-profile aggregate features,20,66.0275,62.655,-3.2475000000000023,-4.286467584369452,9,11,0,decrease,0.55,0.1429061889648437,-0.3809523809523809,-9.6725,0.6225000000000023,0,0,0.3809523809523809,0.5716247558593748,0.3365066336124196,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_023,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.5213532991289964,0.5714285714285714,0.30769230769230776,0.0,0.0,1.0,1.0,4.300948356499751,not_prioritized,12,0
signal_energy,ECG morphology and signal energy,20,12857.3124275,13373.7877625,174.67302500000005,1.2916864415971647,13,7,0,increase,0.65,0.1893482208251953,0.3428571428571428,-47.19377499999973,433.0223725000006,0,0,0.3428571428571428,0.6203346117998262,0.4733705520629883,0,0,0,exploratory,1,0.0007936507936507,20,low_or_no_missingness,singleton_012,1,singleton,1,0,0,1,0,0,0,0,0,0,1,0.44594674894753206,0.5142857142857142,0.46153846153846156,0.0,0.0,1.0,0.8000000000000203,4.243541849543426,not_prioritized,13,0
katzFd,fractal and nonlinear dynamics,20,3.0275,2.9875,-0.0524999999999997,-1.6761991916418748,7,12,1,decrease,0.6,0.1908721882461004,-0.3421052631578947,-0.1425,0.0349999999999999,0,0,0.3421052631578947,0.6203346117998262,0.7593285620664013,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_026,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.443798628941554,0.513157894736842,0.3846153846153846,0.0,0.0,1.0,1.0,4.183143816587561,not_prioritized,14,0
entropyProfiled_skewness_sampleEntropy,entropy-profile aggregate features,20,8.7725,8.86,0.2599999999999997,2.987861066808435,12,8,0,increase,0.6,0.2454872131347656,0.3047619047619048,-0.1174999999999997,0.5949999999999989,0,0,0.3047619047619048,0.6687778465821088,0.3927795410156249,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_003,2,correlated_cluster_abs_rho_ge_0_85,1,0,0,0,0,0,0,0,0,0,1,0.3763664696887432,0.4571428571428572,0.3846153846153846,0.0,0.0,1.0,1.0,3.9362494228939697,not_prioritized,15,0
numberOfZeroCrossing,time-domain statistics,20,1357.75,1203.0,-53.75,-5.966183289795319,8,12,0,decrease,0.6,0.2454872131347656,-0.3047619047619048,-183.25,53.5,0,0,0.3047619047619048,0.6687778465821088,0.8371133735540475,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_037,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.3763664696887432,0.4571428571428572,0.3846153846153846,0.0,0.0,1.0,1.0,3.9362494228939697,not_prioritized,16,0
maximum,time-domain statistics,20,0.5800000000000001,0.4825,-0.0124999999999999,-2.0865642182433337,7,12,1,decrease,0.6,0.2511340120662142,-0.3,-0.0474999999999999,0.0074999999999999,0,0,0.3,0.6687778465821088,0.8371133735540475,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_033,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.3702723396075163,0.45,0.3846153846153846,0.0,0.0,1.0,1.0,3.909775448445802,not_prioritized,17,0
approximateEntropy,entropy and complexity,20,0.4649999999999999,0.41,-0.0324999999999999,-6.874115983026867,7,11,2,decrease,0.55,0.0934867111748373,-0.4502923976608187,-0.1349999999999999,0.01,0,0,0.4502923976608187,0.4532000091079297,0.311622370582791,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_004,3,correlated_cluster_abs_rho_ge_0_85,0,0,1,0,0,1,0,0,0,0,0,0.6350714287421508,0.6754385964912281,0.30769230769230776,0.0,0.0,0.0,1.0,3.736404665851373,exploratory_priority_for_review,18,0
higuchiFd,fractal and nonlinear dynamics,20,1.4249999999999998,1.38,-0.0025,-0.2074688796680545,8,10,2,decrease,0.5,0.2572222486854265,-0.3040935672514619,-0.0324999999999999,0.0125,0,0,0.3040935672514619,0.6687778465821088,0.7593285620664013,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_025,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.3638534476208849,0.4561403508771929,0.23076923076923078,0.0,0.0,1.0,1.0,3.6015260585346174,not_prioritized,19,0
R_amp_mean,ECG morphology and signal energy,20,-0.3907437257499999,-0.4303706939999999,-0.1883968202500001,-18.03383831429861,8,12,0,decrease,0.6,0.3117942810058594,-0.2666666666666666,-0.390889583,0.11884059225,0,0,0.2666666666666666,0.7720620291573661,0.5196571350097656,0,0,0,exploratory,1,0.0007936507936507,20,low_or_no_missingness,singleton_010,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.3122952085018534,0.3999999999999999,0.3846153846153846,0.0,0.0,1.0,0.8000000000000203,3.5938211862344858,not_prioritized,20,0
fd_bandPower,fractal-dimension summary features,20,0.0,0.0,0.0,,0,0,20,no_change,1.0,1.0,0.0,0.0,0.0,0,20,0.0,1.0,1.0,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_028,1,singleton,1,0,0,1,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.5,not_prioritized,21,0
entropyProfiled_variance_sampleEntropy,entropy-profile aggregate features,20,0.02,0.02,0.0,0.0,2,8,10,no_change,0.5,0.1682533168062098,-0.4909090909090909,-0.01,0.0,0,0,0.4909090909090909,0.6203346117998262,0.3365066336124196,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_007,2,correlated_cluster_abs_rho_ge_0_85,0,0,0,0,0,1,0,0,0,0,0,0.4775985661241975,0.7363636363636364,0.23076923076923078,0.0,0.0,0.0,1.0,3.3894628665141298,not_prioritized,22,0
spectralEntropy,entropy and complexity,20,4.9399999999999995,4.8425,-0.0500000000000002,-0.9532545383405854,10,10,0,tie_or_mixed,0.5,0.3410214366810602,-0.2428571428571428,-0.2800000000000002,0.1149999999999997,0,0,0.2428571428571428,0.8060506685188696,0.716412684074792,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_019,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.2882846462168704,0.3642857142857142,0.23076923076923078,0.0,0.0,1.0,1.0,3.2666791825436308,not_prioritized,23,0
R_amp_std,ECG morphology and signal energy,20,0.8313570487499999,0.704156738,-0.052887883,-6.841129505044634,9,11,0,decrease,0.55,0.4304332733154297,-0.2095238095238095,-0.2012245829999999,0.0774216672499999,0,0,0.2095238095238095,0.9077031086770774,0.5380415916442871,0,0,0,exploratory,1,0.0007936507936507,20,low_or_no_missingness,singleton_011,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.22588867353060105,0.3142857142857143,0.30769230769230776,0.0,0.0,1.0,0.8000000000000203,3.0957333910172564,not_prioritized,24,0
hjorthComplexity,entropy and complexity,20,1.83,1.845,-0.0474999999999999,-2.701060001944957,7,12,1,decrease,0.6,0.5458845697561467,-0.1578947368421052,-0.06,0.0275,0,0,0.1578947368421052,0.9313364892972296,0.716412684074792,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_016,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.16221495227556706,0.2368421052631578,0.3846153846153846,0.0,0.0,1.0,1.0,3.067344884308219,not_prioritized,25,0
lempelZivComplexity,entropy and complexity,20,2.0,2.0,0.0,0.0,5,6,9,no_change,0.45,0.4760334929424296,-0.2424242424242424,-0.75,0.0,0,0,0.2424242424242424,0.9077031086770774,0.716412684074792,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_017,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.19890520626102082,0.36363636363636365,0.15384615384615388,0.0,0.0,1.0,1.0,2.9327754474870766,not_prioritized,26,0
singularValueDecompositionEntropy,entropy and complexity,20,1.13,1.1050000000000002,0.0,-0.0742651657285804,10,10,0,tie_or_mixed,0.5,0.4663884458106656,-0.1857142857142857,-0.0574999999999999,0.025,0,0,0.1857142857142857,0.9077031086770774,0.716412684074792,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_005,3,correlated_cluster_abs_rho_ge_0_85,1,0,0,0,0,0,0,0,0,0,1,0.20439037618815806,0.2785714285714286,0.23076923076923078,0.0,0.0,1.0,1.0,2.9274620710576347,not_prioritized,27,0
entropyProfiled_median_sampleEntropy,entropy-profile aggregate features,20,0.02,0.02,0.0,0.0,7,4,9,no_change,0.45,0.4973466588212234,0.2272727272727272,0.0,0.0074999999999999,0,2,0.2272727272727272,0.9077031086770774,0.5683961815099696,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,singleton_022,1,singleton,1,0,0,0,0,0,0,0,0,0,1,0.18716837516340887,0.34090909090909083,0.15384615384615388,0.0,0.0,1.0,1.0,2.863847239837307,not_prioritized,28,0
renyiEntropy,entropy and complexity,20,-8.895,-8.92,0.0549999999999996,0.5846735652246157,11,8,1,increase,0.55,0.5731301472598336,0.1473684210526315,-0.12,0.1900000000000003,0,0,0.1473684210526315,0.9313364892972296,0.716412684074792,0,0,0,exploratory,0,0.0,20,low_or_no_missingness,cluster_001,5,correlated_cluster_abs_rho_ge_0_85,1,0,0,0,0,0,0,0,0,0,1,0.14916340452634774,0.22105263157894728,0.30769230769230776,0.0,0.0,1.0,1.0,2.8558166875952056,not_prioritized,29,0
HRV_SDNN,HRV,20,48.6213296075,48.490025630000005,-1.6762685174999987,-4.035840949799637,9,11,0,decrease,0.55,0.5705966949462891,-0.1523809523809524,-15.0880950525,2.630836435000001,0,0,0.1523809523809524,0.9313364892972296,0.6476554870605469,0,0,0,exploratory,1,0.0007936507936507,20,low_or_no_missingness,cluster_006,2,correlated_cluster_abs_rho_ge_0_85,1,0,0,0,0,0,0,0,0,0,1,0.15035055859908636,0.2285714285714286,0.30769230769230776,0.0,0.0,1.0,0.8000000000000203,2.7732285897256554,not_prioritized,30,0
