feature,feature_family,missing_count,missing_percent,non_missing_count,unique_non_missing_values,paired_patient_count,missingness_flag,included,exclusion_reason
entropyProfiled_minimum_sampleEntropy,entropy-profile aggregate features,0,0.0,1260,1,20,low_or_no_missingness,False,constant_or_single_unique_value
mean,time-domain statistics,0,0.0,1260,1,20,low_or_no_missingness,False,constant_or_single_unique_value
positiveToNegativePeakRatio,time-domain statistics,0,0.0,1260,1,20,low_or_no_missingness,False,constant_or_single_unique_value
shannonEntropy,entropy and complexity,0,0.0,1260,1,20,low_or_no_missingness,False,constant_or_single_unique_value
