,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
higuchiFd,-0.030103048443543275,0.1161780155238041,,-0.017985021645990903,-0.48269459612336424,-0.4293094922514078,0.2216239934210143,-0.002082270479970965,0.27416251745861825,0.15151417524676777,-0.42049413526784596,0.49764072206934096,0.361079876853007,0.5950835379608146,0.8661577610588918,-0.07779184770271452,0.3655828389316096,-0.11658018021310644,0.7849134923312114,-0.17400549799368561,0.7940643432861775,0.4592386710201208,0.1902518599475538,1.0,-0.22706948969733143,-0.3208506234432461,0.1289338863362622,0.05255264878339447,0.35508307516577786,-0.5353958761484021,-0.5125783995064808,-0.15041357255086488,-0.1980339876623389,0.5718737694569582,-0.4201196911789378
detrendedFluctuation,0.337632091365246,-0.34763413808157406,,0.09399535668604524,0.2758719922534962,0.27646240896999746,-0.22441536444502105,0.30657318303872155,0.032839942054948654,-0.2726167996795864,0.34657618911147275,0.35862836597280673,0.3643911729882442,0.02176126485247786,-0.44555189146170926,-0.0003952324431996592,-0.2349735088301303,0.17418318653808829,-0.5555344928273682,0.6681618658388186,-0.5471648301609048,-0.06238072209026923,-0.19484865332511644,-0.22706948969733143,1.0,0.12202367308781238,0.08405737591337027,0.33954743258084213,0.23158503070594455,0.2376934848026466,0.20779710500511314,0.06454498460347842,0.07044807683784136,-0.31087187468773736,0.2715586541979238
fd_maximum,-0.031507823802905774,-0.139769020415713,,0.32967675696872806,0.5495203526800061,0.5342546292905452,-0.3083381365760114,-0.0760202110533604,0.03215161211709101,0.09862878462083612,0.5896791435489056,-0.09743451742396689,0.05850685422301808,-0.2277717799971441,-0.28129943744800334,0.009829468118583942,-0.48231351582637655,0.088384727591608,-0.30509413315738027,0.2851310940973648,-0.3072021742905742,-0.11451071260018501,0.12504537953074346,-0.3208506234432461,0.12202367308781238,1.0,0.033272037862339995,-0.17697522069638782,-0.1993871882394633,0.6682832322983774,0.6844938363880455,0.8372338326082222,0.8464442841656513,-0.6520511453684946,0.5331393799606099
fd_minimum,0.10996112242742324,-0.18556835195700314,,5.9854913932527903e-05,0.11078164417556509,0.1333776987778842,-0.06607653222441835,0.06515692169488801,0.085028851545234,-0.0613480710992726,0.13716852757455908,0.1940782184043297,0.1673305467319053,0.18363733905505758,0.09047720295427436,0.05800322774103744,-0.10981858828987871,0.04502722893380737,0.04404343755899543,0.20780223709839804,0.03755514079893375,0.14151234098693266,-0.01280344699770931,0.1289338863362622,0.08405737591337027,0.033272037862339995,1.0,0.21148815735367368,0.307170254659504,0.08449409207322124,0.0824280336973191,-0.010628466499751141,-0.008653706889481678,0.01643686989196607,0.13676259999018386
fd_mean,0.3248088685054603,-0.5179074051297278,,0.13247394285396374,0.3788426049923423,0.3337872008794384,-0.14057921697949344,0.23456496410526603,0.2162995671906004,-0.2071082075314684,0.3326453394953264,0.40156079014676355,0.35925995004215777,0.19556025370710325,0.03858848854491248,-0.05188268117216795,-0.3839232124834957,0.5054358783877921,-0.03951038858486427,0.4301416703810989,-0.019488338351108504,0.13432642546035234,-0.036831781215072516,0.05255264878339447,0.33954743258084213,-0.17697522069638782,0.21148815735367368,1.0,0.8256464433744384,0.20524858927517073,0.15707110747313555,-0.3942582896989308,-0.4438433061985919,0.23952114699458374,0.3351638638708563
fd_median,0.3019859249433306,-0.44673725003820297,,0.06410584842479494,0.19800037674572918,0.17716999582341011,-0.07383058188835352,0.18658641741291052,0.23712375884313833,-0.06279715062951421,0.18842044888864048,0.5535182137111034,0.4517753043282392,0.48506734708910454,0.3394589905038117,-0.014475677375867666,-0.2301104486188943,0.3023385555090033,0.21749307228413017,0.4488547912595386,0.23915826644813343,0.3219613178791895,0.05904486212698222,0.35508307516577786,0.23158503070594455,-0.1993871882394633,0.307170254659504,0.8256464433744384,1.0,0.0244705667102696,-0.0068950345049421675,-0.30291862437429484,-0.3380642375615829,0.3552424661904764,0.18463113485631666
fd_standardDeviation,0.14378087805544518,-0.4121271073739439,,0.2878049695461252,0.9563290666336718,0.9056790124609524,-0.40604755364666356,0.055575820769528536,0.07510839524048286,0.02607451252376275,0.912242285293333,-0.12816752107357643,0.020068900918284317,-0.3031470584535217,-0.4414490906224388,0.19611392173230707,-0.8109612748412431,0.2805640403346867,-0.4497495940882392,0.47287293142248366,-0.46413525829380825,-0.1627140636577665,0.08050244327470839,-0.5353958761484021,0.2376934848026466,0.6682832322983774,0.08449409207322124,0.20524858927517073,0.0244705667102696,1.0,0.9728370238585844,0.3826623844732934,0.4580161699565509,-0.6099234141152229,0.9066438688863176
fd_variance,0.13426610260116711,-0.3951754590338601,,0.2840811883109847,0.9159019869968459,0.8933916253792975,-0.3921447945071818,0.06794185606386542,0.09016651278774127,0.012929888431677644,0.8742707708565409,-0.1325576195313076,0.007340491440980955,-0.2895581483742379,-0.4157843840013543,0.15319324330473294,-0.7493903897892087,0.23773188594282335,-0.42489452871731964,0.44492249317440785,-0.437585416487159,-0.1664493957716214,0.08582198860334007,-0.5125783995064808,0.20779710500511314,0.6844938363880455,0.0824280336973191,0.15707110747313555,-0.0068950345049421675,0.9728370238585844,1.0,0.40600548085167876,0.47867320991524365,-0.6082881920085167,0.8915000759892094
fd_kurtosis,-0.1069946460270791,0.046239751504654515,,0.22708328487778398,0.25309687366392475,0.2527465172156936,-0.23686735173546616,-0.12625332334816486,0.002248707091833721,0.1455477437959185,0.32496424340056523,-0.04759348296185397,0.07763362422026843,-0.11186100605164404,-0.16340106913384697,-0.032584767568353525,-0.19700972122034152,-0.06872336637308298,-0.19564740446798848,0.17419077865946195,-0.19552605062833414,-0.04097046490111893,0.16266572528954887,-0.15041357255086488,0.06454498460347842,0.8372338326082222,-0.010628466499751141,-0.3942582896989308,-0.30291862437429484,0.3826623844732934,0.40600548085167876,1.0,0.9627385290819116,-0.584534810492658,0.2533590564530986
fd_skewness,-0.10797671229220243,0.04707592484440459,,0.23163383926882344,0.31404772761302746,0.3162812487516895,-0.26625520789124457,-0.1259559911918338,-0.03031155037019631,0.15527177467423858,0.38365884947141105,-0.08893132852585883,0.05223206879447167,-0.1423853354107943,-0.1992527903887855,0.005823299288026694,-0.258503544745322,-0.08794600431924039,-0.22564605779497593,0.19493238195426615,-0.22988747604960288,-0.055900017651381334,0.17158071789612758,-0.1980339876623389,0.07044807683784136,0.8464442841656513,-0.008653706889481678,-0.4438433061985919,-0.3380642375615829,0.4580161699565509,0.47867320991524365,0.9627385290819116,1.0,-0.6472718868891278,0.3195408181521634
spectralEntropy,-0.00028408849390997726,0.002559066959209783,,-0.25697748982569635,-0.4821437846735968,-0.4740218423005303,0.34662624598550923,-0.032319603420005935,0.10286683601389744,0.04183882586879092,-0.5780518135454031,0.17676212693557436,-0.008268335211660828,0.3491256950833436,0.6417896703483209,-0.06549167141278629,0.3892685002500005,-0.0368895880269829,0.6785989918939206,-0.42698541786826905,0.6868115673034254,0.2758216008267368,-0.048654389784671286,0.5718737694569582,-0.31087187468773736,-0.6520511453684946,0.01643686989196607,0.23952114699458374,0.3552424661904764,-0.6099234141152229,-0.6082881920085167,-0.584534810492658,-0.6472718868891278,1.0,-0.4749192521913907
fd_bandPower,0.1583227046988883,-0.41542448670384124,,0.21048923566284886,0.9164586309952316,0.9850348405375929,-0.3832626971446594,0.17288258934632492,0.10799615775669302,-0.06185418880539451,0.8876533475083977,-0.004217973822797509,0.11268837799359627,-0.13991700120058728,-0.34789170634761846,0.1936725893913279,-0.7384269630892712,0.31394223216693506,-0.366676301072562,0.5475893034379254,-0.38532753091558297,-0.07142811027799387,0.09981364264015706,-0.4201196911789378,0.2715586541979238,0.5331393799606099,0.13676259999018386,0.3351638638708563,0.18463113485631666,0.9066438688863176,0.8915000759892094,0.2533590564530986,0.3195408181521634,-0.4749192521913907,1.0
