feature,n_subjects_available,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,global_bh_fdr_p_value,global_bh_fdr_significant,family_bh_fdr_p_value,family_bh_fdr_significant,absolute_rank_biserial_effect_size,bootstrap_ci_excludes_zero,n_subjects_expected,complete_20_patient_pairs,feature_family,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,is_HRV_feature,hrv_valid_median_difference,hrv_valid_dominant_direction,hrv_valid_direction_consistency,hrv_valid_wilcoxon_p_value,hrv_valid_bootstrap_ci_excludes_zero,hrv_valid_rank_biserial_effect_size,hrv_valid_direction_agrees_with_full,hrv_valid_support_flag,retained_after_rho_090_filtering,redundancy_selected_reason,rho_090_cluster_id,rho_090_cluster_features,is_rho_090_cluster_representative,n_essential_sensitivity_analyses_available,n_same_dominant_direction_as_reference,percent_same_dominant_direction_as_reference,n_same_median_difference_sign_as_reference,percent_same_median_difference_sign_as_reference,median_direction_consistency_across_essential_analyses,min_direction_consistency_across_essential_analyses,n_essential_analyses_with_bootstrap_ci_excluding_zero,n_essential_analyses_with_raw_p_less_0_05,loo_percent_same_dominant_direction,loo_percent_same_median_difference_sign,loo_n_runs_bootstrap_ci_excludes_zero,loo_n_runs_raw_p_less_0_05,loo_median_direction_consistency,n_HI_episode_groups_available,n_HI_episode_groups_agree_with_full_direction,episode_percent_HI_groups_agree,n_missing,percent_missing,clinically_interpretable,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,score_effect_size,score_direction_consistency,score_statistical_support,score_bootstrap_support,score_lmm_support,score_hrv_valid_support,score_sensitivity_robustness,score_leave_one_out,score_redundancy,score_missingness,score_clinical_interpretability,score_artifact_penalty,score_episode_descriptive_support,total_candidate_score,meaningful_effect_size,strong_or_moderate_direction_consistency,acceptable_direction_consistency,strong_statistical_or_bootstrap_support,strong_sensitivity_support,acceptable_sensitivity_support,acceptable_redundancy,low_missingness,hrv_not_disqualified,candidate_category,interpretation_note,candidate_category_order
higuchiFd,20,1.4249999999999998,1.38,-0.0025,-0.0324999999999999,0.0125,-0.2074688796680545,8,10,2,0.5,decreased_during_HI,59.5,0.2572222486854265,-0.3040935672514619,0.6687778465821089,False,0.7642383976586055,False,0.3040935672514619,False,20,True,Fractal / nonlinear,-0.1707850658422166,1.3168497938350591e-11,4.891156377101648e-11,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,2,0,0,0,2,1,0,0,1,2,1,0,0,9,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
spectralEntropy,20,4.9399999999999995,4.8425,-0.0500000000000002,-0.2800000000000002,0.1149999999999997,-0.9532545383405854,10,10,0,0.5,tied,79.5,0.3410214366810602,-0.2428571428571428,0.8060506685188696,False,0.3410214366810602,False,0.2428571428571428,False,20,True,Spectral,-0.1185171588300122,1.1810213823433655e-05,3.411839548991945e-05,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,True,False,False,1,0,0,0,2,1,0,0,1,2,2,0,0,9,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
HRV_MeanNN,20,626.025792225,642.4071739,20.759493749999933,1.6337561499999538,67.20964850000001,3.9719993901506663,15,5,0,0.75,increased_during_HI,53.0,0.0531692504882812,0.4952380952380952,0.4330064047960739,False,0.1063385009765625,False,0.4952380952380952,True,20,True,HRV,0.1525691918250095,0.0028287222584289,0.0052533413370822,True,True,True,True,39.34251842500004,increased_during_HI,0.75,0.2333984375,False,0.4102564102564102,1.0,0.0,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,2,2,0,2,2,-2,0,0,1,1,2,-2,0,8,True,True,True,True,False,False,True,True,False,Not prioritized,not prioritized by scorecard; good patient-level direction consistency; bootstrap CI excludes zero; LMM direction agrees with paired analysis; downgraded because HRV-valid subgroup does not strongly support signal; potentially rhythm/artifact sensitive,3
sampleEntropy,20,0.2675,0.285,-0.0349999999999999,-0.1024999999999999,0.0025,-16.27536231884058,6,13,1,0.65,decreased_during_HI,49.0,0.0640685250312829,-0.4842105263157895,0.4330064047960739,False,0.2492978964662329,False,0.4842105263157895,False,20,True,Entropy / complexity,-0.3636889924539611,4.217735481673714e-28,7.31074150156777e-27,True,True,True,False,,,,,,,,,False,,rho_09_cluster_02,fuzzyEntropy; sampleEntropy; approximateEntropy,False,,,,,,,,,,,,,,,,,,0,0.0,True,False,False,2,1,0,0,2,1,0,0,-2,2,2,0,0,8,True,False,True,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; LMM direction agrees with paired analysis; removed by rho 0.90 redundancy filtering,3
entropyProfiled_total_sampleEntropy,20,66.0275,62.655,-3.2475000000000023,-9.6725,0.6225000000000023,-4.286467584369452,9,11,0,0.55,decreased_during_HI,65.0,0.1429061889648437,-0.3809523809523809,0.571624755859375,False,0.3365066336124196,False,0.3809523809523809,False,20,True,Entropy-profile aggregates,-0.2008439296525486,1.4358117209457637e-13,6.78747358992543e-13,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,2,0,0,0,2,1,0,0,1,2,0,0,0,8,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; highly derived aggregate feature,3
signal_energy,20,12857.3124275,13373.7877625,174.67302500000005,-47.19377499999973,433.0223725000006,1.2916864415971647,13,7,0,0.65,increased_during_HI,69.0,0.1893482208251953,0.3428571428571428,0.6203346117998263,False,0.4733705520629883,False,0.3428571428571428,False,20,True,Morphology / signal quality,0.0026274340011996,0.962983826253668,0.962983826253668,False,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,2,1,0,0,0,1,0,0,1,1,2,-1,0,7,True,False,True,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; LMM direction agrees with paired analysis; potentially rhythm/artifact sensitive,3
entropyProfiled_skewness_sampleEntropy,20,8.7725,8.86,0.2599999999999998,-0.1174999999999997,0.482499999999999,2.987861066808435,12,8,0,0.6,increased_during_HI,73.0,0.2454872131347656,0.3047619047619048,0.6687778465821089,False,0.392779541015625,False,0.3047619047619048,False,20,True,Entropy-profile aggregates,0.0470880880819185,0.0730923104312049,0.0980457011756607,False,True,True,False,,,,,,,,,True,representative_of_rho_0_90_cluster,rho_09_cluster_03,entropyProfiled_skewness_sampleEntropy; entropyProfiled_kurtosis_sampleEntropy,True,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,2,0,0,0,0,1,0,0,2,2,0,0,0,7,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; highly derived aggregate feature,3
R_amp_mean,20,-0.39074372575,-0.4303706939999999,-0.1883968202500001,-0.390889583,0.11884059225,-18.03383831429861,8,12,0,0.6,decreased_during_HI,77.0,0.3117942810058594,-0.2666666666666666,0.7720620291573661,False,0.5196571350097656,False,0.2666666666666666,False,20,True,Morphology / signal quality,-0.0999437294213837,5.131388748454796e-05,0.0001334161074598,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,1,0,0,0,2,1,0,0,1,1,2,-1,0,7,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; potentially rhythm/artifact sensitive,3
approximateEntropy,20,0.4649999999999999,0.41,-0.0324999999999999,-0.135,0.01,-6.874115983026867,7,11,2,0.55,decreased_during_HI,47.0,0.0934867111748373,-0.4502923976608187,0.4528125500841984,False,0.2492978964662329,False,0.4502923976608187,False,20,True,Entropy / complexity,-0.4043191255486922,6.3813365508565795e-31,1.6591475032227104e-29,True,True,True,False,,,,,,,,,False,,rho_09_cluster_02,fuzzyEntropy; sampleEntropy; approximateEntropy,False,,,,,,,,,,,,,,,,,,0,0.0,True,False,False,2,0,0,0,2,1,0,0,-2,2,2,0,0,7,True,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; removed by rho 0.90 redundancy filtering,3
R_amp_std,20,0.8313570487499999,0.704156738,-0.052887883,-0.2012245829999999,0.0774216672499999,-6.841129505044636,9,11,0,0.55,decreased_during_HI,83.0,0.4304332733154297,-0.2095238095238095,0.9077031086770774,False,0.5380415916442871,False,0.2095238095238095,False,20,True,Morphology / signal quality,-0.1184457779940042,0.0139186648334492,0.0219324415557381,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,1,0,0,0,2,1,0,0,1,1,2,-1,0,7,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; potentially rhythm/artifact sensitive,3
