feature,n_subjects_available,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,global_bh_fdr_p_value,global_bh_fdr_significant,family_bh_fdr_p_value,family_bh_fdr_significant,absolute_rank_biserial_effect_size,bootstrap_ci_excludes_zero,n_subjects_expected,complete_20_patient_pairs,feature_family,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,is_HRV_feature,hrv_valid_median_difference,hrv_valid_dominant_direction,hrv_valid_direction_consistency,hrv_valid_wilcoxon_p_value,hrv_valid_bootstrap_ci_excludes_zero,hrv_valid_rank_biserial_effect_size,hrv_valid_direction_agrees_with_full,hrv_valid_support_flag,retained_after_rho_090_filtering,redundancy_selected_reason,rho_090_cluster_id,rho_090_cluster_features,is_rho_090_cluster_representative,n_essential_sensitivity_analyses_available,n_same_dominant_direction_as_reference,percent_same_dominant_direction_as_reference,n_same_median_difference_sign_as_reference,percent_same_median_difference_sign_as_reference,median_direction_consistency_across_essential_analyses,min_direction_consistency_across_essential_analyses,n_essential_analyses_with_bootstrap_ci_excluding_zero,n_essential_analyses_with_raw_p_less_0_05,loo_percent_same_dominant_direction,loo_percent_same_median_difference_sign,loo_n_runs_bootstrap_ci_excludes_zero,loo_n_runs_raw_p_less_0_05,loo_median_direction_consistency,n_HI_episode_groups_available,n_HI_episode_groups_agree_with_full_direction,episode_percent_HI_groups_agree,n_missing,percent_missing,clinically_interpretable,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,score_effect_size,score_direction_consistency,score_statistical_support,score_bootstrap_support,score_lmm_support,score_hrv_valid_support,score_sensitivity_robustness,score_leave_one_out,score_redundancy,score_missingness,score_clinical_interpretability,score_artifact_penalty,score_episode_descriptive_support,total_candidate_score,meaningful_effect_size,strong_or_moderate_direction_consistency,acceptable_direction_consistency,strong_statistical_or_bootstrap_support,strong_sensitivity_support,acceptable_sensitivity_support,acceptable_redundancy,low_missingness,hrv_not_disqualified,candidate_category,interpretation_note,candidate_category_order
minimum,20,-0.55,-0.6,0.005,-0.0549999999999999,0.0325,0.4098360655737709,10,9,1,0.5,increased_during_HI,84.5,0.6723162484711958,0.1105263157894736,0.9626522350658362,False,0.9256271491017656,False,0.1105263157894736,False,20,True,Time-domain statistics,0.1655416015808085,1.1916315704503337e-06,3.8728026039635845e-06,True,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,2,1,0,0,1,2,1,0,0,7,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
fd_skewness,20,9.6225,8.709999999999999,0.0225000000000001,-1.2900000000000014,2.744999999999999,-0.7523293371002038,10,10,0,0.5,tied,101.0,0.8983173370361328,0.0380952380952381,0.9626522350658362,False,1.0,False,0.0380952380952381,False,20,True,FD-summary aggregates,0.129779510603158,0.0003640241952168,0.0008230112239684,True,True,True,False,,,,,,,,,True,representative_of_rho_0_90_cluster,rho_09_cluster_04,fd_skewness; fd_kurtosis,True,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,2,1,0,0,2,2,0,0,0,7,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; highly derived aggregate feature,3
fd_minimum,20,0.01,0.01,0.0,-0.0074999999999999,0.0,0.0,2,7,11,0.35,decreased_during_HI,7.5,0.0666163699686267,-0.6666666666666666,0.4330064047960739,False,0.3419609069824219,False,0.6666666666666666,False,20,True,FD-summary aggregates,-0.152622953827853,0.0026843872418903,0.0051699309843813,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,3,0,0,0,0,1,0,0,1,2,0,0,0,7,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
HRV_pNN50,20,44.7382946925,30.966068795,-11.345795360000002,-16.897239735000007,0.7701153574999999,-21.29314522835047,7,13,0,0.65,decreased_during_HI,46.0,0.026641845703125,-0.5619047619047619,0.4330064047960739,False,0.1063385009765625,False,0.5619047619047619,False,20,True,HRV,-0.3798266052590718,9.989891259705976e-28,1.2986858637617767e-26,True,True,True,True,-1.1160004250000002,decreased_during_HI,0.5833333333333334,0.33935546875,False,-0.3333333333333333,1.0,0.0,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,3,1,0,0,2,-2,0,0,1,1,2,-2,0,6,True,False,True,True,False,False,True,True,False,Not prioritized,not prioritized by scorecard; LMM direction agrees with paired analysis; downgraded because HRV-valid subgroup does not strongly support signal; potentially rhythm/artifact sensitive,3
skewness,20,-0.305,-0.21,0.0424999999999999,-0.3125,0.1949999999999999,3.6062779765137822,11,9,0,0.55,increased_during_HI,97.0,0.7841262817382812,-0.0761904761904762,0.9626522350658362,False,0.9256271491017656,False,0.0761904761904762,False,20,True,Time-domain statistics,-0.0558593671573805,0.0419883548410392,0.0606498458815011,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,True,False,False,0,0,0,0,0,1,0,0,1,2,2,0,0,6,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
singularValueDecompositionEntropy,20,1.13,1.1050000000000002,0.0,-0.0574999999999999,0.025,-0.0742651657285803,10,10,0,0.5,tied,85.5,0.4663884458106656,-0.1857142857142857,0.9077031086770774,False,0.7616535887078874,False,0.1857142857142857,False,20,True,Entropy / complexity,-0.1856495648819847,3.034129733376685e-16,2.253924944794109e-15,True,False,True,False,,,,,,,,,True,representative_of_rho_0_90_cluster,rho_09_cluster_06,singularValueDecompositionEntropy; hjorthMobility; fisherInfo,True,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,2,2,1,0,0,6,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
entropyProfiled_variance_sampleEntropy,20,0.02,0.02,0.0,-0.01,0.0,0.0,2,8,10,0.4,decreased_during_HI,14.0,0.1682533168062098,-0.4909090909090909,0.6203346117998263,False,0.3365066336124196,False,0.4909090909090909,False,20,True,Entropy-profile aggregates,-0.3189084237587846,8.953009864831421e-16,5.8194564121404226e-15,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,2,0,0,0,0,1,0,0,1,2,0,0,0,6,True,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
lempelZivComplexity,20,2.0,2.0,0.0,-0.75,0.0,0.0,5,6,9,0.3,decreased_during_HI,25.0,0.4760334929424296,-0.2424242424242424,0.9077031086770774,False,0.7616535887078874,False,0.2424242424242424,False,20,True,Entropy / complexity,-0.1429316759465777,3.906052140555931e-05,0.0001069024796362,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,1,0,0,0,0,1,0,0,1,2,1,0,0,6,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
hjorthComplexity,20,1.83,1.845,-0.0474999999999999,-0.06,0.0275,-2.701060001944957,7,12,1,0.6,decreased_during_HI,80.0,0.5458845697561467,-0.1578947368421052,0.9313364892972296,False,0.7642383976586055,False,0.1578947368421052,False,20,True,Fractal / nonlinear,0.078054389956924,0.0018103257687388,0.0036206515374776,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
fd_variance,20,406.5925,405.44000000000005,-18.897500000000008,-68.84749999999998,33.5,-4.053052354935057,8,12,0,0.6,decreased_during_HI,96.0,0.7561664581298828,-0.0857142857142857,0.9626522350658362,False,1.0,False,0.0857142857142857,False,20,True,FD-summary aggregates,0.0560630913511144,0.0101204525359865,0.016445735370978,True,False,True,False,,,,,,,,,True,representative_of_rho_0_90_cluster,rho_09_cluster_05,fd_variance; variance; standardDeviation; fd_standardDeviation,True,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,0,1,0,0,2,2,0,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
permutationEntropy,20,2.3725,2.3425,0.03,-0.1074999999999999,0.0524999999999999,1.3797692990239587,12,7,1,0.6,increased_during_HI,90.0,0.8405177356132087,-0.0526315789473684,0.9626522350658362,False,0.8405177356132087,False,0.0526315789473684,False,20,True,Entropy / complexity,-0.0836312498263102,0.0057418187148741,0.0099301963806814,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
renyiEntropy,20,-8.895,-8.92,0.0549999999999997,-0.1200000000000001,0.1900000000000004,0.5846735652246157,11,8,1,0.55,increased_during_HI,81.0,0.5731301472598336,0.1473684210526315,0.9313364892972296,False,0.7641735296797781,False,0.1473684210526315,False,20,True,Entropy / complexity,-0.0467820185150022,0.3493542451031727,0.39492219011663,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
meanAbsoluteValue,20,0.12,0.11,-0.0099999999999999,-0.01,0.01,-6.9047619047619015,8,11,1,0.55,decreased_during_HI,89.5,0.8243083271555138,-0.0578947368421052,0.9626522350658362,False,0.9256271491017656,False,0.0578947368421052,False,20,True,Time-domain statistics,0.0129545244299167,0.5515390077945708,0.5975005917774516,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
positiveToNegativeSampleRatio,20,1.1075000000000002,1.0475,-0.005,-0.1325,0.195,-0.2196382428940571,10,10,0,0.5,tied,102.5,0.9256271491017656,0.0238095238095238,0.9626522350658362,False,0.9256271491017656,False,0.0238095238095238,False,20,True,Time-domain statistics,-0.0351857463244823,0.1677014608809146,0.2076303801382752,False,True,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis,3
distributionEntropy,20,0.83,0.83,0.0,-0.0125,0.015,0.0,7,9,4,0.45,decreased_during_HI,62.5,0.7758498559997214,-0.0808823529411764,0.9626522350658362,False,0.8405177356132087,False,0.0808823529411764,False,20,True,Entropy / complexity,0.0465797514903805,0.2163169344787442,0.24996623539766,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
detrendedFluctuation,20,0.515,0.5275000000000001,0.0,-0.0349999999999999,0.0125,0.0,7,9,4,0.45,decreased_during_HI,66.0,0.9176178742687192,-0.0294117647058823,0.9626522350658362,False,0.9176178742687192,False,0.0294117647058823,False,20,True,Fractal / nonlinear,0.0627952757644237,0.0735342758817455,0.0980457011756607,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
entropyProfiled_median_sampleEntropy,20,0.02,0.02,0.0,0.0,0.0075,0.0,7,4,9,0.35,increased_during_HI,25.5,0.4973466588212234,0.2272727272727272,0.9077031086770774,False,0.5683961815099696,False,0.2272727272727272,False,20,True,Entropy-profile aggregates,0.1653002108611274,0.0004112443242189,0.0008910293691409,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,1,0,0,0,0,1,0,0,1,2,0,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
median,20,0.01,0.0,0.0,-0.01,0.0049999999999999,0.0,6,7,7,0.35,decreased_during_HI,38.0,0.5961126657233238,-0.1648351648351648,0.9393290490185708,False,0.9256271491017656,False,0.1648351648351648,False,20,True,Time-domain statistics,-0.0350883951828684,0.1367025279714278,0.1733788159637621,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
petrosianFd,20,1.02,1.02,0.0,0.0,0.0,0.0,4,4,12,0.2,tied,16.0,0.763024600552995,0.1111111111111111,0.9626522350658362,False,0.8901953673118276,False,0.1111111111111111,False,20,True,Fractal / nonlinear,-0.0182222231056455,0.6277279164442877,0.6661602378592442,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,1,2,1,0,0,5,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction,3
fd_maximum,20,458.5475,450.5825,-5.707499999999982,-78.08249999999998,91.6475,-2.251785406046744,10,10,0,0.5,tied,100.0,0.8694877624511719,0.0476190476190476,0.9626522350658362,False,1.0,False,0.0476190476190476,False,20,True,FD-summary aggregates,0.0915538577065092,0.000361101913213,0.0008230112239684,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,0,1,0,0,1,2,0,0,0,4,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
QRS_std,20,0.03713810025,0.0353267517499999,-0.000865138,-0.0042960915,0.00480396275,-3.091835938943172,10,10,0,0.5,tied,101.0,0.8983173370361328,0.0380952380952381,0.9626522350658362,False,0.8983173370361328,False,0.0380952380952381,False,20,True,Morphology / signal quality,0.0565898627552601,0.1965324811197156,0.2322656595051185,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,5,0.3968253968253968,True,True,False,0,0,0,0,0,1,0,0,1,1,2,-1,0,4,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; potentially rhythm/artifact sensitive,3
entropyProfiled_average_sampleEntropy,20,0.05,0.05,0.0,0.0,0.0,0.0,5,5,10,0.25,tied,24.0,0.7202301969573564,-0.1272727272727272,0.9626522350658362,False,0.7202301969573564,False,0.1272727272727272,False,20,True,Entropy-profile aggregates,-0.1194396039298395,0.0038088260234966,0.0068296190766146,True,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,0,1,0,0,1,2,0,0,0,4,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
fd_bandPower,20,0.0,0.0,0.0,0.0,0.0,,0,0,20,0.0,tied,0.0,1.0,,1.0,False,1.0,False,,False,20,True,FD-summary aggregates,0.108047976637142,0.0553824678633905,0.0778348196999002,False,False,True,False,,,,,,,,,True,not_in_rho_0_90_cluster,,,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,0,1,0,0,1,2,0,0,0,4,False,False,False,False,False,False,True,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature,3
HRV_SDNN,20,48.6213296075,48.490025630000005,-1.6762685174999987,-15.0880950525,2.630836435000001,-4.035840949799637,9,11,0,0.55,decreased_during_HI,89.0,0.5705966949462891,-0.1523809523809524,0.9313364892972296,False,0.6476554870605469,False,0.1523809523809524,False,20,True,HRV,-0.1301239278651029,0.0187335431455263,0.0286513012813932,True,True,True,True,1.091529042499996,increased_during_HI,0.5833333333333334,0.90966796875,False,-0.0512820512820512,0.0,0.0,True,representative_of_rho_0_90_cluster,rho_09_cluster_01,HRV_SDNN; HRV_RMSSD,True,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,0,0,0,0,2,-2,0,0,2,1,2,-2,0,3,False,False,False,False,False,False,True,True,False,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; downgraded because HRV-valid subgroup does not strongly support signal; potentially rhythm/artifact sensitive,3
fd_kurtosis,20,163.885,140.755,1.035,-52.60500000000006,47.7325,-2.5340139675328666,10,10,0,0.5,tied,103.0,0.956329345703125,0.019047619047619,0.9750809015012256,False,1.0,False,0.019047619047619,False,20,True,FD-summary aggregates,0.1137256570188084,0.0059199247654062,0.0099301963806814,True,True,True,False,,,,,,,,,False,,rho_09_cluster_04,fd_skewness; fd_kurtosis,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,2,1,0,0,-2,2,0,0,0,3,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; removed by rho 0.90 redundancy filtering; highly derived aggregate feature,3
variance,20,0.03,0.03,0.0,-0.0099999999999999,0.0,0.0,5,7,8,0.35,decreased_during_HI,36.5,0.8442232365389633,-0.0641025641025641,0.9626522350658362,False,0.9256271491017656,False,0.0641025641025641,False,20,True,Time-domain statistics,0.0360533461087497,0.1008132199506039,0.1310571859357851,False,False,True,False,,,,,,,,,False,,rho_09_cluster_05,fd_variance; variance; standardDeviation; fd_standardDeviation,False,,,,,,,,,,,,,,,,,,0,0.0,True,False,False,0,0,0,0,0,1,0,0,-2,2,2,0,0,3,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering,3
standardDeviation,20,0.1775,0.18,0.0,-0.0099999999999999,0.0075,0.0,7,7,6,0.35,tied,50.0,0.8751691459232763,0.0476190476190476,0.9626522350658362,False,0.9256271491017656,False,0.0476190476190476,False,20,True,Time-domain statistics,-0.0035143166334381,0.8723460141427589,0.8894508379494798,False,False,True,False,,,,,,,,,False,,rho_09_cluster_05,fd_variance; variance; standardDeviation; fd_standardDeviation,False,,,,,,,,,,,,,,,,,,0,0.0,True,False,False,0,0,0,0,0,1,0,0,-2,2,2,0,0,3,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering,3
entropyProfiled_kurtosis_sampleEntropy,20,97.2525,99.465,3.5999999999999943,-4.63000000000001,16.20499999999999,3.509987495778184,11,9,0,0.55,increased_during_HI,83.0,0.4304332733154297,0.2095238095238095,0.9077031086770774,False,0.5683961815099696,False,0.2095238095238095,False,20,True,Entropy-profile aggregates,0.0357868035369982,0.1919183562711459,0.2320873145604556,False,True,True,False,,,,,,,,,False,,rho_09_cluster_03,entropyProfiled_skewness_sampleEntropy; entropyProfiled_kurtosis_sampleEntropy,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,1,0,0,0,0,1,0,0,-2,2,0,0,0,2,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; removed by rho 0.90 redundancy filtering; highly derived aggregate feature,3
hjorthMobility,20,0.485,0.4549999999999999,0.005,-0.0549999999999999,0.025,0.9090909090909098,10,9,1,0.5,increased_during_HI,78.5,0.5062190413776009,-0.1736842105263158,0.9077031086770774,False,0.7642383976586055,False,0.1736842105263158,False,20,True,Fractal / nonlinear,-0.1359217158961457,3.544632332946804e-08,1.228805875421559e-07,True,False,True,False,,,,,,,,,False,,rho_09_cluster_06,singularValueDecompositionEntropy; hjorthMobility; fisherInfo,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,-2,2,1,0,0,2,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering,3
fisherInfo,20,0.5,0.4875,0.0,-0.0275,0.01,0.0,9,9,2,0.45,tied,70.0,0.4985342407499642,-0.1812865497076023,0.9077031086770774,False,0.7642383976586055,False,0.1812865497076023,False,20,True,Fractal / nonlinear,-0.1607854944116539,4.877864978102085e-12,1.9511459912408338e-11,True,False,True,False,,,,,,,,,False,,rho_09_cluster_06,singularValueDecompositionEntropy; hjorthMobility; fisherInfo,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,False,0,0,0,0,0,1,0,0,-2,2,1,0,0,2,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering,3
fd_standardDeviation,20,20.135,20.137500000000003,-0.4800000000000004,-1.4025,0.9999999999999992,-2.0578285025895173,8,12,0,0.6,decreased_during_HI,98.0,0.8123550415039062,-0.0666666666666666,0.9626522350658362,False,1.0,False,0.0666666666666666,False,20,True,FD-summary aggregates,0.0196976727590886,0.3615892467582928,0.400056187902792,False,False,True,False,,,,,,,,,False,,rho_09_cluster_05,fd_variance; variance; standardDeviation; fd_standardDeviation,False,,,,,,,,,,,,,,,,,,0,0.0,False,False,True,0,0,0,0,0,1,0,0,-2,2,0,0,0,1,False,False,False,False,False,False,False,True,True,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; removed by rho 0.90 redundancy filtering; highly derived aggregate feature,3
HRV_RMSSD,20,77.07343222,73.3548031,0.445869794999993,-23.2413229775,3.6327494724999982,0.8143534551644752,10,10,0,0.5,tied,92.0,0.6476554870605469,-0.1238095238095238,0.9626522350658362,False,0.6476554870605469,False,0.1238095238095238,False,20,True,HRV,-0.1247773509652506,0.0268385758842294,0.0398744555994266,True,False,True,True,1.8938369525000027,increased_during_HI,0.5833333333333334,0.90966796875,False,-0.0512820512820512,0.0,0.0,False,,rho_09_cluster_01,HRV_SDNN; HRV_RMSSD,False,,,,,,,,,,,,,,,,,,1,0.07936507936507936,True,True,False,0,0,0,0,0,-2,0,0,-2,1,2,-2,0,-3,False,False,False,False,False,False,False,True,False,Not prioritized,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; downgraded because HRV-valid subgroup does not strongly support signal; removed by rho 0.90 redundancy filtering; potentially rhythm/artifact sensitive,3
