feature,n_leave_one_out_runs,n_runs_same_dominant_direction_as_reference,percent_runs_same_dominant_direction_as_reference,n_runs_same_median_difference_sign_as_reference,percent_runs_same_median_difference_sign_as_reference,min_direction_consistency,median_direction_consistency,max_direction_consistency,min_median_difference,median_median_difference,max_median_difference,n_runs_bootstrap_ci_excludes_zero,n_runs_raw_p_less_0_05
QRS_mean,20,20,100.0,20,100.0,0.5789473684210527,0.5789473684210527,0.631578947368421,0.004460272000000015,0.01035768875000001,0.016255105500000006,0,20
entropyProfiled_maximum_sampleEntropy,20,20,100.0,20,100.0,0.631578947368421,0.631578947368421,0.6842105263157895,-0.3200000000000003,-0.25500000000000017,-0.19000000000000006,0,15
fd_mean,20,20,100.0,20,100.0,0.631578947368421,0.631578947368421,0.6842105263157895,-0.3900000000000001,-0.36500000000000044,-0.34000000000000075,0,0
fd_median,20,20,100.0,20,100.0,0.631578947368421,0.631578947368421,0.6842105263157895,-0.25,-0.16249999999999998,-0.07499999999999996,0,2
fuzzyEntropy,20,20,100.0,20,100.0,0.631578947368421,0.631578947368421,0.6842105263157895,-0.01999999999999999,-0.01999999999999999,-0.01999999999999999,0,4
kurtosis,20,20,100.0,20,100.0,0.7368421052631579,0.7368421052631579,0.7894736842105263,0.8499999999999996,0.9924999999999997,1.1349999999999998,20,11
