feature,feature_family,direction_consistency,rank_biserial_effect_size,absolute_rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,median_difference,dominant_direction,n_subjects_available,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,n_missing,percent_missing,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,interpretability_score,representative_priority_score,selected_reason
signal_energy,Morphology / signal quality,0.65,0.34285714285714286,0.34285714285714286,0.1893482208251953,0.6203346117998263,0.4733705520629883,False,174.67302500000005,increased_during_HI,20,0.0026274340011996225,0.962983826253668,0.962983826253668,False,True,True,1,0.079,True,False,3,4.634924285714286,not_in_rho_0_90_cluster
entropyProfiled_total_sampleEntropy,Entropy-profile aggregates,0.55,-0.38095238095238093,0.38095238095238093,0.14290618896484375,0.571624755859375,0.3365066336124196,False,-3.2475000000000023,decreased_during_HI,20,-0.20084392965254863,1.4358117209457637e-13,6.787473589925429e-13,True,True,True,0,0.0,False,True,1,4.411904761904762,not_in_rho_0_90_cluster
hjorthComplexity,Fractal / nonlinear,0.6,-0.15789473684210525,0.15789473684210525,0.5458845697561467,0.9313364892972296,0.7642383976586055,False,-0.04749999999999999,decreased_during_HI,20,0.07805438995692401,0.001810325768738817,0.003620651537477634,True,False,True,0,0.0,False,False,2,4.11578947368421,not_in_rho_0_90_cluster
permutationEntropy,Entropy / complexity,0.6,-0.05263157894736842,0.05263157894736842,0.8405177356132087,0.9626522350658362,0.8405177356132087,False,0.030000000000000027,increased_during_HI,20,-0.08363124982631023,0.0057418187148741435,0.009930196380681449,True,False,True,0,0.0,False,False,2,3.9052631578947365,not_in_rho_0_90_cluster
singularValueDecompositionEntropy,Entropy / complexity,0.5,-0.18571428571428572,0.18571428571428572,0.46638844581066563,0.9077031086770774,0.7616535887078874,False,0.0,tied,20,-0.18564956488198472,3.034129733376685e-16,2.253924944794109e-15,True,False,True,0,0.0,False,False,2,3.8714285714285714,representative_of_rho_0_90_cluster
fd_skewness,FD-summary aggregates,0.5,0.0380952380952381,0.0380952380952381,0.8983173370361328,0.9626522350658362,1.0,False,0.022500000000000187,tied,20,0.12977951060315807,0.0003640241952168253,0.0008230112239684746,True,True,True,0,0.0,False,True,1,3.576190476190476,representative_of_rho_0_90_cluster
positiveToNegativeSampleRatio,Time-domain statistics,0.5,0.023809523809523808,0.023809523809523808,0.9256271491017656,0.9626522350658362,0.9256271491017656,False,-0.0050000000000000044,tied,20,-0.035185746324482375,0.16770146088091464,0.20763038013827526,False,True,True,0,0.0,False,False,2,3.5476190476190474,not_in_rho_0_90_cluster
entropyProfiled_skewness_sampleEntropy,Entropy-profile aggregates,0.6,0.3047619047619048,0.3047619047619048,0.24548721313476562,0.6687778465821089,0.392779541015625,False,0.2599999999999998,increased_during_HI,20,0.04708808808191855,0.07309231043120494,0.09804570117566073,False,True,True,0,0.0,False,True,1,3.4095238095238094,representative_of_rho_0_90_cluster
lempelZivComplexity,Entropy / complexity,0.3,-0.24242424242424243,0.24242424242424243,0.4760334929424296,0.9077031086770774,0.7616535887078874,False,0.0,decreased_during_HI,20,-0.1429316759465777,3.906052140555931e-05,0.00010690247963626758,True,False,True,0,0.0,False,False,2,3.3848484848484848,not_in_rho_0_90_cluster
fd_minimum,FD-summary aggregates,0.35,-0.6666666666666666,0.6666666666666666,0.06661636996862676,0.4330064047960739,0.3419609069824219,False,0.0,decreased_during_HI,20,-0.15262295382785301,0.0026843872418903084,0.005169930984381335,True,False,True,0,0.0,False,True,1,3.383333333333333,not_in_rho_0_90_cluster
skewness,Time-domain statistics,0.55,-0.0761904761904762,0.0761904761904762,0.7841262817382812,0.9626522350658362,0.9256271491017656,False,0.042499999999999996,increased_during_HI,20,-0.05585936715738055,0.04198835484103926,0.06064984588150115,False,False,True,0,0.0,False,False,3,3.3023809523809526,not_in_rho_0_90_cluster
entropyProfiled_variance_sampleEntropy,Entropy-profile aggregates,0.4,-0.4909090909090909,0.4909090909090909,0.1682533168062098,0.6203346117998263,0.3365066336124196,False,0.0,decreased_during_HI,20,-0.3189084237587846,8.953009864831421e-16,5.819456412140423e-15,True,False,True,0,0.0,False,True,1,3.181818181818182,not_in_rho_0_90_cluster
fd_variance,FD-summary aggregates,0.6,-0.08571428571428572,0.08571428571428572,0.7561664581298828,0.9626522350658362,1.0,False,-18.897500000000008,decreased_during_HI,20,0.056063091351114404,0.010120452535986502,0.016445735370978064,True,False,True,0,0.0,False,True,1,2.9714285714285715,representative_of_rho_0_90_cluster
renyiEntropy,Entropy / complexity,0.55,0.14736842105263157,0.14736842105263157,0.5731301472598336,0.9313364892972296,0.7641735296797781,False,0.054999999999999716,increased_during_HI,20,-0.0467820185150022,0.3493542451031727,0.39492219011663005,False,False,True,0,0.0,False,False,2,2.9447368421052635,not_in_rho_0_90_cluster
meanAbsoluteValue,Time-domain statistics,0.55,-0.05789473684210526,0.05789473684210526,0.8243083271555138,0.9626522350658362,0.9256271491017656,False,-0.009999999999999988,decreased_during_HI,20,0.012954524429916753,0.5515390077945708,0.5975005917774516,False,False,True,0,0.0,False,False,2,2.765789473684211,not_in_rho_0_90_cluster
fd_maximum,FD-summary aggregates,0.5,0.047619047619047616,0.047619047619047616,0.8694877624511719,0.9626522350658362,1.0,False,-5.707499999999982,tied,20,0.09155385770650928,0.0003611019132130996,0.0008230112239684746,True,False,True,0,0.0,False,True,1,2.5952380952380953,not_in_rho_0_90_cluster
QRS_std,Morphology / signal quality,0.5,0.0380952380952381,0.0380952380952381,0.8983173370361328,0.9626522350658362,0.8983173370361328,False,-0.0008651380000000031,tied,20,0.05658986275526017,0.19653248111971566,0.23226565950511852,False,False,True,5,0.397,True,False,3,2.572220476190476,not_in_rho_0_90_cluster
distributionEntropy,Entropy / complexity,0.45,-0.08088235294117647,0.08088235294117647,0.7758498559997214,0.9626522350658362,0.8405177356132087,False,0.0,decreased_during_HI,20,0.0465797514903805,0.21631693447874423,0.24996623539766,False,False,True,0,0.0,False,False,2,2.511764705882353,not_in_rho_0_90_cluster
entropyProfiled_median_sampleEntropy,Entropy-profile aggregates,0.35,0.22727272727272727,0.22727272727272727,0.4973466588212234,0.9077031086770774,0.5683961815099696,False,0.0,increased_during_HI,20,0.16530021086112748,0.00041124432421890434,0.0008910293691409593,True,False,True,0,0.0,False,True,1,2.5045454545454544,not_in_rho_0_90_cluster
detrendedFluctuation,Fractal / nonlinear,0.45,-0.029411764705882353,0.029411764705882353,0.9176178742687193,0.9626522350658362,0.9176178742687193,False,0.0,decreased_during_HI,20,0.06279527576442373,0.07353427588174555,0.09804570117566073,False,False,True,0,0.0,False,False,2,2.408823529411765,not_in_rho_0_90_cluster
median,Time-domain statistics,0.35,-0.16483516483516483,0.16483516483516483,0.5961126657233238,0.9393290490185708,0.9256271491017656,False,0.0,decreased_during_HI,20,-0.03508839518286842,0.1367025279714278,0.1733788159637621,False,False,True,0,0.0,False,False,2,2.379670329670329,not_in_rho_0_90_cluster
entropyProfiled_average_sampleEntropy,Entropy-profile aggregates,0.25,-0.12727272727272726,0.12727272727272726,0.7202301969573564,0.9626522350658362,0.7202301969573564,False,0.0,tied,20,-0.11943960392983959,0.0038088260234966057,0.006829619076614603,True,False,True,0,0.0,False,True,1,2.0045454545454544,not_in_rho_0_90_cluster
petrosianFd,Fractal / nonlinear,0.2,0.1111111111111111,0.1111111111111111,0.763024600552995,0.9626522350658362,0.8901953673118276,False,0.0,tied,20,-0.018222223105645564,0.6277279164442877,0.6661602378592442,False,False,True,0,0.0,False,False,2,1.8222222222222224,not_in_rho_0_90_cluster
fd_bandPower,FD-summary aggregates,0.0,,,1.0,1.0,1.0,False,0.0,tied,20,0.108047976637142,0.055382467863390565,0.07783481969990025,False,False,True,0,0.0,False,True,1,0.0,not_in_rho_0_90_cluster
