feature,feature_family,direction_consistency,rank_biserial_effect_size,absolute_rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,median_difference,dominant_direction,n_subjects_available,lmm_beta_Class,lmm_p_value_Class,lmm_global_bh_fdr_p_value,lmm_global_bh_fdr_significant,lmm_agrees_with_paired_direction,lmm_converged,n_missing,percent_missing,known_artifact_or_rhythm_sensitive,highly_derived_aggregate,interpretability_score,representative_priority_score
HRV_MeanNN,HRV,0.75,0.49523809523809526,0.49523809523809526,0.05316925048828125,0.4330064047960739,0.1063385009765625,True,20.759493749999933,increased_during_HI,20,0.15256919182500958,0.002828722258428909,0.00525334133708226,True,True,True,1,0.079,True,False,3,7.23968619047619
kurtosis,Time-domain statistics,0.75,0.5333333333333333,0.5333333333333333,0.03623390197753906,0.4330064047960739,0.3623390197753906,True,0.9924999999999997,increased_during_HI,20,0.011690975593518444,0.829802162962647,0.8629942494811528,False,True,True,0,0.0,False,False,3,6.816666666666666
fuzzyEntropy,Entropy / complexity,0.65,-0.49707602339181284,0.49707602339181284,0.06399596863607887,0.4330064047960739,0.2492978964662329,False,-0.01999999999999999,decreased_during_HI,20,-0.3553121960292917,1.0159848056247969e-26,1.0566241978497887e-25,True,True,True,0,0.0,False,False,3,6.444152046783626
sampleEntropy,Entropy / complexity,0.65,-0.4842105263157895,0.4842105263157895,0.06406852503128298,0.4330064047960739,0.2492978964662329,False,-0.03499999999999999,decreased_during_HI,20,-0.36368899245396114,4.217735481673714e-28,7.31074150156777e-27,True,True,True,0,0.0,False,False,3,6.4184210526315795
HRV_pNN50,HRV,0.65,-0.5619047619047619,0.5619047619047619,0.026641845703125,0.4330064047960739,0.1063385009765625,False,-11.345795360000002,decreased_during_HI,20,-0.37982660525907186,9.989891259705976e-28,1.2986858637617767e-26,True,True,True,1,0.079,True,False,3,6.073019523809524
approximateEntropy,Entropy / complexity,0.55,-0.4502923976608187,0.4502923976608187,0.09348671117483734,0.45281255008419846,0.2492978964662329,False,-0.03249999999999997,decreased_during_HI,20,-0.40431912554869226,6.381336550856579e-31,1.6591475032227104e-29,True,True,True,0,0.0,False,False,3,6.050584795321638
QRS_mean,Morphology / signal quality,0.6,0.5714285714285714,0.5714285714285714,0.023950576782226562,0.4330064047960739,0.11975288391113281,False,0.01035768875000001,increased_during_HI,20,0.4881475230324718,4.0448454806340205e-50,2.1033196499296905e-48,True,True,True,5,0.397,True,False,3,5.938887142857143
spectralEntropy,Spectral,0.5,-0.24285714285714285,0.24285714285714285,0.3410214366810602,0.8060506685188696,0.3410214366810602,False,-0.050000000000000266,tied,20,-0.11851715883001229,1.1810213823433655e-05,3.411839548991945e-05,True,True,True,0,0.0,False,False,3,5.485714285714286
katzFd,Fractal / nonlinear,0.6,-0.34210526315789475,0.34210526315789475,0.19087218824610042,0.6203346117998263,0.7642383976586055,False,-0.05249999999999977,decreased_during_HI,20,-0.15891891205420317,0.0002546236516078358,0.0006304966611241649,True,True,True,0,0.0,False,False,2,5.484210526315789
numberOfZeroCrossing,Time-domain statistics,0.6,-0.3047619047619048,0.3047619047619048,0.24548721313476562,0.6687778465821089,0.8371133735540475,False,-53.75,decreased_during_HI,20,-0.1259054906682131,0.0006734889063326403,0.0014008569251718918,True,True,True,0,0.0,False,False,2,5.40952380952381
