feature,feature_family,candidate_category,total_candidate_score,dominant_direction,median_difference,direction_consistency,rank_biserial_effect_size,wilcoxon_p_value,global_bh_fdr_p_value,family_bh_fdr_p_value,bootstrap_ci_excludes_zero,lmm_agrees_with_paired_direction,lmm_global_bh_fdr_significant,percent_same_median_difference_sign_as_reference,loo_percent_same_median_difference_sign,retained_after_rho_090_filtering,rho_090_cluster_id,percent_missing,clinically_interpretable,known_artifact_or_rhythm_sensitive,interpretation_note
R_amp_std,Morphology / signal quality,Not prioritized,7,decreased_during_HI,-0.052887883,0.55,-0.2095238095238095,0.4304332733154297,0.9077031086770774,0.5380415916442871,False,True,True,,,True,,0.07936507936507936,True,True,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; potentially rhythm/artifact sensitive
minimum,Time-domain statistics,Not prioritized,7,increased_during_HI,0.005,0.5,0.1105263157894736,0.6723162484711958,0.9626522350658362,0.9256271491017656,False,True,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis
fd_skewness,FD-summary aggregates,Not prioritized,7,tied,0.0225000000000001,0.5,0.0380952380952381,0.8983173370361328,0.9626522350658362,1.0,False,True,True,,,True,rho_09_cluster_04,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis; highly derived aggregate feature
fd_minimum,FD-summary aggregates,Not prioritized,7,decreased_during_HI,0.0,0.35,-0.6666666666666666,0.0666163699686267,0.4330064047960739,0.3419609069824219,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
HRV_pNN50,HRV,Not prioritized,6,decreased_during_HI,-11.345795360000002,0.65,-0.5619047619047619,0.026641845703125,0.4330064047960739,0.1063385009765625,False,True,True,,,True,,0.07936507936507936,True,True,not prioritized by scorecard; LMM direction agrees with paired analysis; downgraded because HRV-valid subgroup does not strongly support signal; potentially rhythm/artifact sensitive
skewness,Time-domain statistics,Not prioritized,6,increased_during_HI,0.0424999999999999,0.55,-0.0761904761904762,0.7841262817382812,0.9626522350658362,0.9256271491017656,False,False,False,,,True,,0.0,True,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
singularValueDecompositionEntropy,Entropy / complexity,Not prioritized,6,tied,0.0,0.5,-0.1857142857142857,0.4663884458106656,0.9077031086770774,0.7616535887078874,False,False,True,,,True,rho_09_cluster_06,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
entropyProfiled_variance_sampleEntropy,Entropy-profile aggregates,Not prioritized,6,decreased_during_HI,0.0,0.4,-0.4909090909090909,0.1682533168062098,0.6203346117998263,0.3365066336124196,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
lempelZivComplexity,Entropy / complexity,Not prioritized,6,decreased_during_HI,0.0,0.3,-0.2424242424242424,0.4760334929424296,0.9077031086770774,0.7616535887078874,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
hjorthComplexity,Fractal / nonlinear,Not prioritized,5,decreased_during_HI,-0.0474999999999999,0.6,-0.1578947368421052,0.5458845697561467,0.9313364892972296,0.7642383976586055,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
fd_variance,FD-summary aggregates,Not prioritized,5,decreased_during_HI,-18.897500000000008,0.6,-0.0857142857142857,0.7561664581298828,0.9626522350658362,1.0,False,False,True,,,True,rho_09_cluster_05,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction; highly derived aggregate feature
permutationEntropy,Entropy / complexity,Not prioritized,5,increased_during_HI,0.03,0.6,-0.0526315789473684,0.8405177356132087,0.9626522350658362,0.8405177356132087,False,False,True,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
renyiEntropy,Entropy / complexity,Not prioritized,5,increased_during_HI,0.0549999999999997,0.55,0.1473684210526315,0.5731301472598336,0.9313364892972296,0.7641735296797781,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
meanAbsoluteValue,Time-domain statistics,Not prioritized,5,decreased_during_HI,-0.0099999999999999,0.55,-0.0578947368421052,0.8243083271555138,0.9626522350658362,0.9256271491017656,False,False,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction does not support paired direction
positiveToNegativeSampleRatio,Time-domain statistics,Not prioritized,5,tied,-0.005,0.5,0.0238095238095238,0.9256271491017656,0.9626522350658362,0.9256271491017656,False,True,False,,,True,,0.0,False,False,not prioritized by scorecard; limited patient-level direction consistency; LMM direction agrees with paired analysis
