analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,omitted_patient
leave_one_out_exclude_491,QRS_mean,19,19,0.132103846,0.14475,0.004460272000000015,-0.0014142014999999897,0.03041363349999998,3.3968750398655754,11,8,0,0.5789473684210527,increased_during_HI,44.0,0.040130615234375,0.5368421052631579,False,0.08026123046875,False,0.5368421052631579,491
leave_one_out_exclude_491,kurtosis,19,19,6.210000000000001,6.1,1.1349999999999998,0.5299999999999999,2.200000000000001,27.34617775015539,15,4,0,0.7894736842105263,increased_during_HI,38.0,0.020412445068359375,0.6,True,0.08026123046875,False,0.6,491
leave_one_out_exclude_491,fuzzyEntropy,19,19,0.24,0.24,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,5,12,2,0.631578947368421,decreased_during_HI,39.0,0.07566315110996226,-0.49019607843137253,False,0.1134947266649434,False,0.49019607843137253,491
leave_one_out_exclude_491,entropyProfiled_maximum_sampleEntropy,19,19,2.4850000000000003,2.4,-0.3200000000000003,-0.6150000000000002,0.0,-16.309012875536485,4,13,2,0.6842105263157895,decreased_during_HI,32.0,0.03515697309591544,-0.5816993464052288,False,0.08026123046875,False,0.5816993464052288,491
leave_one_out_exclude_491,fd_mean,19,19,7.665,7.27,-0.34000000000000075,-0.6949999999999994,0.15499999999999758,-4.4678055190538855,7,12,0,0.631578947368421,decreased_during_HI,62.0,0.1956329345703125,-0.3473684210526316,False,0.1956329345703125,False,0.3473684210526316,491
leave_one_out_exclude_491,fd_median,19,19,2.93,1.86,-0.07499999999999996,-0.8,0.11000000000000032,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,58.0,0.14468765258789062,-0.3894736842105263,False,0.17362518310546873,False,0.3894736842105263,491
leave_one_out_exclude_638,QRS_mean,19,19,0.1368522585,0.157876923,0.016255105500000006,-0.0002500000000000002,0.03041363349999998,8.40836472039211,12,7,0,0.631578947368421,increased_during_HI,36.0,0.015972137451171875,0.6210526315789474,False,0.08251325044389864,False,0.6210526315789474,638
leave_one_out_exclude_638,kurtosis,19,19,5.75,5.67,1.1349999999999998,0.5299999999999999,2.200000000000001,27.34617775015539,15,4,0,0.7894736842105263,increased_during_HI,41.0,0.0289306640625,0.5684210526315789,True,0.08251325044389864,False,0.5684210526315789,638
leave_one_out_exclude_638,fuzzyEntropy,19,19,0.24,0.24,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,4,13,2,0.6842105263157895,decreased_during_HI,36.0,0.05500883362926575,-0.5294117647058824,False,0.08251325044389864,False,0.5294117647058824,638
leave_one_out_exclude_638,entropyProfiled_maximum_sampleEntropy,19,19,2.4850000000000003,2.4,-0.3200000000000003,-0.6150000000000002,0.0,-16.309012875536485,5,12,2,0.631578947368421,decreased_during_HI,34.0,0.04423369101367787,-0.5555555555555556,False,0.08251325044389864,False,0.5555555555555556,638
leave_one_out_exclude_638,fd_mean,19,19,7.665,6.970000000000001,-0.34000000000000075,-0.79,0.15499999999999758,-5.252525252525248,7,12,0,0.631578947368421,decreased_during_HI,58.0,0.14468765258789062,-0.3894736842105263,False,0.14468765258789062,False,0.3894736842105263,638
leave_one_out_exclude_638,fd_median,19,19,2.93,1.86,-0.07499999999999996,-0.8,0.11000000000000032,-5.660377358490571,7,12,0,0.631578947368421,decreased_during_HI,55.0,0.11337661743164062,-0.42105263157894735,False,0.13605194091796874,False,0.42105263157894735,638
