feature,feature_family,n_subjects_available,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,global_bh_fdr_p_value,global_bh_fdr_significant,family_bh_fdr_p_value,family_bh_fdr_significant,absolute_rank_biserial_effect_size,bootstrap_ci_excludes_zero,n_subjects_expected,complete_20_patient_pairs
kurtosis,Time-domain statistics,20,5.98,5.885,0.9924999999999997,0.32749999999999996,1.9649999999999999,24.6866023885912,15,5,0,0.75,increased_during_HI,49.0,0.03623390197753906,0.5333333333333333,0.4330064047960739,False,0.3623390197753906,False,0.5333333333333333,True,20,True
HRV_MeanNN,HRV,20,626.025792225,642.4071739,20.759493749999933,1.6337561499999538,67.20964850000001,3.9719993901506663,15,5,0,0.75,increased_during_HI,53.0,0.05316925048828125,0.49523809523809526,0.4330064047960739,False,0.1063385009765625,False,0.49523809523809526,True,20,True
entropyProfiled_maximum_sampleEntropy,Entropy-profile aggregates,20,2.3825000000000003,2.3425000000000002,-0.25500000000000017,-0.615,0.0,-14.036859378944719,5,13,2,0.65,decreased_during_HI,37.0,0.034669963150986444,-0.5672514619883041,0.4330064047960739,False,0.27735970520789155,False,0.5672514619883041,False,20,True
HRV_pNN50,HRV,20,44.7382946925,30.966068794999998,-11.345795360000002,-16.897239735000007,0.7701153574999999,-21.29314522835047,7,13,0,0.65,decreased_during_HI,46.0,0.026641845703125,-0.5619047619047619,0.4330064047960739,False,0.1063385009765625,False,0.5619047619047619,False,20,True
fuzzyEntropy,Entropy / complexity,20,0.22999999999999998,0.2375,-0.01999999999999999,-0.08000000000000002,0.0,-10.818713450292393,5,13,2,0.65,decreased_during_HI,43.0,0.06399596863607887,-0.49707602339181284,0.4330064047960739,False,0.2492978964662329,False,0.49707602339181284,False,20,True
sampleEntropy,Entropy / complexity,20,0.2675,0.28500000000000003,-0.03499999999999999,-0.10249999999999997,0.0025000000000000022,-16.27536231884058,6,13,1,0.65,decreased_during_HI,49.0,0.06406852503128298,-0.4842105263157895,0.4330064047960739,False,0.2492978964662329,False,0.4842105263157895,False,20,True
fd_median,FD-summary aggregates,20,2.9525,1.86,-0.16249999999999998,-0.6850000000000002,0.1050000000000001,-5.47289481032351,7,13,0,0.65,decreased_during_HI,59.0,0.08969497680664062,-0.4380952380952381,0.45281255008419846,False,0.3419609069824219,False,0.4380952380952381,False,20,True
fd_mean,FD-summary aggregates,20,7.952500000000001,7.12,-0.36500000000000044,-0.7424999999999997,0.15249999999999875,-4.860165385789567,7,13,0,0.65,decreased_during_HI,62.0,0.11398696899414062,-0.4095238095238095,0.4939435323079427,False,0.3419609069824219,False,0.4095238095238095,False,20,True
signal_energy,Morphology / signal quality,20,12857.312427500001,13373.7877625,174.67302500000005,-47.19377499999973,433.02237250000053,1.2916864415971647,13,7,0,0.65,increased_during_HI,69.0,0.1893482208251953,0.34285714285714286,0.6203346117998263,False,0.4733705520629883,False,0.34285714285714286,False,20,True
QRS_mean,Morphology / signal quality,20,0.13447805224999998,0.1513134615,0.01035768875000001,-0.000832100749999995,0.029738985999999995,5.902619880128842,12,8,0,0.6,increased_during_HI,45.0,0.023950576782226562,0.5714285714285714,0.4330064047960739,False,0.11975288391113281,False,0.5714285714285714,False,20,True
katzFd,Fractal / nonlinear,20,3.0275,2.9875,-0.05249999999999977,-0.14250000000000007,0.03499999999999992,-1.6761991916418748,7,12,1,0.6,decreased_during_HI,62.5,0.19087218824610042,-0.34210526315789475,0.6203346117998263,False,0.7642383976586055,False,0.34210526315789475,False,20,True
entropyProfiled_skewness_sampleEntropy,Entropy-profile aggregates,20,8.7725,8.86,0.2599999999999998,-0.11749999999999972,0.48249999999999904,2.987861066808435,12,8,0,0.6,increased_during_HI,73.0,0.24548721313476562,0.3047619047619048,0.6687778465821089,False,0.392779541015625,False,0.3047619047619048,False,20,True
numberOfZeroCrossing,Time-domain statistics,20,1357.75,1203.0,-53.75,-183.25,53.5,-5.966183289795319,8,12,0,0.6,decreased_during_HI,73.0,0.24548721313476562,-0.3047619047619048,0.6687778465821089,False,0.8371133735540475,False,0.3047619047619048,False,20,True
maximum,Time-domain statistics,20,0.5800000000000001,0.4825,-0.012499999999999983,-0.04749999999999999,0.007499999999999951,-2.0865642182433337,7,12,1,0.6,decreased_during_HI,66.5,0.2511340120662142,-0.3,0.6687778465821089,False,0.8371133735540475,False,0.3,False,20,True
R_amp_mean,Morphology / signal quality,20,-0.39074372575,-0.43037069399999994,-0.18839682025000015,-0.390889583,0.11884059225,-18.03383831429861,8,12,0,0.6,decreased_during_HI,77.0,0.3117942810058594,-0.26666666666666666,0.7720620291573661,False,0.5196571350097656,False,0.26666666666666666,False,20,True
hjorthComplexity,Fractal / nonlinear,20,1.83,1.845,-0.04749999999999999,-0.06000000000000005,0.02750000000000008,-2.701060001944957,7,12,1,0.6,decreased_during_HI,80.0,0.5458845697561467,-0.15789473684210525,0.9313364892972296,False,0.7642383976586055,False,0.15789473684210525,False,20,True
fd_variance,FD-summary aggregates,20,406.5925,405.44000000000005,-18.897500000000008,-68.84749999999998,33.5,-4.053052354935057,8,12,0,0.6,decreased_during_HI,96.0,0.7561664581298828,-0.08571428571428572,0.9626522350658362,False,1.0,False,0.08571428571428572,False,20,True
fd_standardDeviation,FD-summary aggregates,20,20.135,20.137500000000003,-0.4800000000000004,-1.4024999999999999,0.9999999999999991,-2.0578285025895173,8,12,0,0.6,decreased_during_HI,98.0,0.8123550415039062,-0.06666666666666667,0.9626522350658362,False,1.0,False,0.06666666666666667,False,20,True
permutationEntropy,Entropy / complexity,20,2.3725,2.3425,0.030000000000000027,-0.10749999999999993,0.05249999999999999,1.3797692990239587,12,7,1,0.6,increased_during_HI,90.0,0.8405177356132087,-0.05263157894736842,0.9626522350658362,False,0.8405177356132087,False,0.05263157894736842,False,20,True
entropyProfiled_standardDeviation_sampleEntropy,Entropy-profile aggregates,20,0.1325,0.14,-0.015,-0.0425,0.0,-11.437908496732028,3,11,6,0.55,decreased_during_HI,26.0,0.0957872702101189,-0.5047619047619047,0.45281255008419846,False,0.3365066336124196,False,0.5047619047619047,False,20,True
