analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,reference_full_median_difference,reference_full_dominant_direction,reference_full_direction_consistency,reference_full_wilcoxon_p_value,reference_full_global_bh_fdr_p_value,reference_full_family_bh_fdr_p_value,reference_full_rank_biserial_effect_size,reference_full_bootstrap_ci_excludes_zero,direction_agrees_with_full_reference,sign_agrees_with_full_reference
full_cohort_reference_top_features,QRS_mean,20,20,0.13447805224999998,0.1513134615,0.01035768875000001,-0.000832100749999995,0.029738985999999995,5.902619880128842,12,8,0,0.6,increased_during_HI,45.0,0.023950576782226562,0.5714285714285714,False,0.07246780395507812,False,0.5714285714285714,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
full_cohort_reference_top_features,kurtosis,20,20,5.98,5.885,0.9924999999999997,0.32749999999999996,1.9649999999999999,24.6866023885912,15,5,0,0.75,increased_during_HI,49.0,0.03623390197753906,0.5333333333333333,True,0.07246780395507812,False,0.5333333333333333,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
full_cohort_reference_top_features,fuzzyEntropy,20,20,0.22999999999999998,0.2375,-0.01999999999999999,-0.08000000000000002,0.0,-10.818713450292393,5,13,2,0.65,decreased_during_HI,43.0,0.06399596863607887,-0.49707602339181284,False,0.0959939529541183,False,0.49707602339181284,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,True,True
full_cohort_reference_top_features,entropyProfiled_maximum_sampleEntropy,20,20,2.3825000000000003,2.3425000000000002,-0.25500000000000017,-0.615,0.0,-14.036859378944719,5,13,2,0.65,decreased_during_HI,37.0,0.034669963150986444,-0.5672514619883041,False,0.07246780395507812,False,0.5672514619883041,-0.25500000000000017,decreased_during_HI,0.65,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,False,True,True
full_cohort_reference_top_features,fd_mean,20,20,7.952500000000001,7.12,-0.36500000000000044,-0.7424999999999997,0.15249999999999875,-4.860165385789567,7,13,0,0.65,decreased_during_HI,62.0,0.11398696899414062,-0.4095238095238095,False,0.11398696899414062,False,0.4095238095238095,-0.36500000000000044,decreased_during_HI,0.65,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,False,True,True
full_cohort_reference_top_features,fd_median,20,20,2.9525,1.86,-0.16249999999999998,-0.6850000000000002,0.1050000000000001,-5.47289481032351,7,13,0,0.65,decreased_during_HI,59.0,0.08969497680664062,-0.4380952380952381,False,0.10763397216796874,False,0.4380952380952381,-0.16249999999999998,decreased_during_HI,0.65,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,False,True,True
exclude_patient_906,QRS_mean,19,19,0.132103846,0.14475,0.004460272000000015,-0.0014142014999999897,0.03041363349999998,3.3968750398655754,11,8,0,0.5789473684210527,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,False,0.07954559326171874,False,0.5263157894736842,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
exclude_patient_906,kurtosis,19,19,5.75,5.67,0.8499999999999996,0.125,1.7299999999999986,22.02702702702701,14,5,0,0.7368421052631579,increased_during_HI,47.0,0.05457305908203125,0.5052631578947369,True,0.07954559326171874,False,0.5052631578947369,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
exclude_patient_906,fuzzyEntropy,19,19,0.22,0.24,-0.01999999999999999,-0.07,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,43.0,0.11247621043596484,-0.43790849673202614,False,0.11247621043596484,False,0.43790849673202614,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,True,True
exclude_patient_906,entropyProfiled_maximum_sampleEntropy,19,19,2.4850000000000003,2.4,-0.3200000000000003,-0.6150000000000002,0.0,-11.764705882352951,5,12,2,0.631578947368421,decreased_during_HI,35.0,0.04946849467368889,-0.5424836601307189,False,0.07954559326171874,False,0.5424836601307189,-0.25500000000000017,decreased_during_HI,0.65,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,False,True,True
