item,value
Informative features attempted in main LMM,52
Main LMMs converged,52
Main LMMs not converged or failed,0
Main LMM features with raw p < 0.05,36
Main LMM features significant after global BH-FDR,35
Main LMM features directionally agreeing with paired analysis,27
Top features used for optional adjusted LMM,8
Adjusted LMMs attempted,24
Adjusted LMMs converged,24
