feature,feature_family,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,baseline_bootstrap_ci_excludes_zero,n_loo_tests,n_adequate_loo_tests,n_direction_changes,n_delta_sign_changes,n_large_direction_consistency_drop,n_large_p_value_ratio,n_potentially_influential_patients,max_direction_consistency_drop,min_loo_direction_consistency,max_p_value_ratio_vs_baseline,max_loo_wilcoxon_p,potentially_influential_patient_ids,loo_stability_label
kurtosis,time-domain statistics,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,20,20,0,0,0,0,0,0.013157894736842146,0.7368421052631579,1.82944675475075,0.06628799438476562,,stable
HRV_MeanNN,HRV,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,20,20,0,0,0,0,0,0.013157894736842146,0.7368421052631579,1.7963839862247095,0.09551239013671875,,stable
HRV_pNN50,HRV,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,20,20,0,0,0,0,0,0.018421052631579005,0.631578947368421,1.8529495990836198,0.049365997314453125,,stable
entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,decrease,-0.2550000000000001,0.65,0.034669963150986444,-0.5672514619883041,0,20,20,0,0,0,0,0,0.018421052631579005,0.631578947368421,1.5925420890198965,0.055213375542714785,,stable
fuzzyEntropy,entropy and complexity,decrease,-0.0199999999999999,0.65,0.06399596863607887,-0.49707602339181284,0,20,20,0,0,0,0,0,0.018421052631579005,0.631578947368421,1.757551496338386,0.11247621043596484,,stable
fd_median,fractal-dimension summary features,decrease,-0.16249999999999995,0.65,0.08969497680664062,-0.4380952380952381,0,20,20,0,0,0,0,0,0.018421052631579005,0.631578947368421,1.74371624207885,0.156402587890625,,stable
QRS_mean,ECG morphology and signal energy,increase,0.01035768875,0.6,0.023950576782226562,0.5714285714285714,0,20,20,0,0,0,0,0,0.021052631578947323,0.5789473684210527,1.8604762283985028,0.044559478759765625,,stable
fd_minimum,fractal-dimension summary features,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,0,20,20,0,0,0,0,0,0.023684210526315863,0.5263157894736842,1.8631280520008715,0.12411482761101693,,stable
entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,decrease,-0.014999999999999951,0.55,0.09586923269590825,-0.5047619047619047,0,20,20,0,0,0,0,0,0.023684210526315863,0.5263157894736842,1.7985955956578634,0.1724299796859594,,stable
