scenario,feature,feature_family,n_segments,n_patients_total_after_filter,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,scenario_status,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,direction_matches_baseline,median_delta_sign_matches_baseline,p_value_ratio_vs_baseline
exclude_high_confound,kurtosis,time-domain statistics,1086,17,17,5.0649999999999995,3.1,0.8499999999999996,13,4,0,increase,0.7647058823529411,0.079681396484375,0.49019607843137253,0.125,2.200000000000001,1,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,2.1990840659051427
exclude_high_confound,HRV_MeanNN,HRV,1086,17,17,625.8526316,632.2539683,14.96410354999989,13,4,0,increase,0.7647058823529411,0.0983734130859375,0.46405228758169936,1.601366999999982,68.68599989999996,1,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1.8501937150236762
exclude_high_confound,HRV_pNN50,HRV,1086,17,17,53.835625629999996,32.62605042,-12.470839774999998,5,12,0,decrease,0.7058823529411765,0.017425537109375,-0.6470588235294118,-20.20221367,0.03400062000000048,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,0.6540664375715922
exclude_high_confound,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,1086,17,17,2.4850000000000003,2.4,-0.3200000000000003,5,11,1,decrease,0.6470588235294118,0.07032573521121914,-0.5147058823529411,-0.6150000000000002,0.04999999999999982,0,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,2.0284340916358374
exclude_high_confound,fd_minimum,fractal-dimension summary features,1086,17,17,0.01,0.01,0.0,2,4,11,no_change,0.6470588235294118,0.1956677425436415,-0.5714285714285714,0.0,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,2.937232134320618
exclude_high_confound,QRS_mean,ECG morphology and signal energy,1086,17,17,0.1368522585,0.159829222,0.016255105500000006,11,6,0,increase,0.6470588235294118,0.023223876953125,0.6209150326797386,-0.0014142014999999897,0.03041363349999998,0,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,0.9696583578880306
exclude_high_confound,fuzzyEntropy,entropy and complexity,1086,17,17,0.28,0.24,-0.01999999999999999,4,11,2,decrease,0.6470588235294118,0.1114074717354976,-0.4666666666666667,-0.09000000000000002,0.0,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,1.7408514022036328
exclude_high_confound,fd_median,fractal-dimension summary features,1086,17,17,2.93,1.81,-0.07499999999999996,6,11,0,decrease,0.6470588235294118,0.10888671875,-0.45098039215686275,-0.8999999999999999,0.13,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,1.2139667418024072
exclude_high_confound,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,1086,17,17,0.14,0.15,-0.020000000000000004,3,10,4,decrease,0.5882352941176471,0.1323651864663668,-0.4725274725274725,-0.045,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,1.3818661516922928
exclude_paced_or_bbb,kurtosis,time-domain statistics,907,14,14,5.4075,6.484999999999999,1.3275000000000001,13,1,0,increase,0.9285714285714286,0.008544921875,0.7714285714285715,0.6524999999999999,2.2175000000000007,1,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,0.2358267094804443
exclude_paced_or_bbb,HRV_MeanNN,HRV,907,14,14,622.2154997499999,642.4071739,39.34251842500004,11,3,0,increase,0.7857142857142857,0.0494384765625,0.6,1.6661452999999256,82.98645875,1,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,0.9298321136461473
exclude_paced_or_bbb,HRV_pNN50,HRV,907,14,14,54.0428835575,41.61442284,-13.030036792499999,4,10,0,decrease,0.7142857142857143,0.0352783203125,-0.638095238095238,-19.83320335787496,0.03400062000000048,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,1.3241695303550973
exclude_paced_or_bbb,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,907,14,14,2.6900000000000004,2.49,-0.40750000000000014,3,10,1,decrease,0.7142857142857143,0.03924327615032666,-0.6483516483516484,-0.8200000000000003,-0.0024375000000007494,1,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,1.1319099469308231
exclude_paced_or_bbb,fd_minimum,fractal-dimension summary features,907,14,14,0.01,0.01,0.0,1,4,9,no_change,0.6428571428571429,0.15729920705028516,-0.6666666666666666,-0.005,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,2.361269566690077
exclude_paced_or_bbb,QRS_mean,ECG morphology and signal energy,907,14,14,0.13447805224999998,0.1588530725,0.0224145835,10,4,0,increase,0.7142857142857143,0.0107421875,0.7523809523809524,0.0012473632500000081,0.032305719499999996,1,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,0.4485147726367763
exclude_paced_or_bbb,fuzzyEntropy,entropy and complexity,907,14,14,0.29500000000000004,0.25,-0.045,3,9,2,decrease,0.6428571428571429,0.059346438791919864,-0.6153846153846154,-0.1225,0.0,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,0.9273465197378425
exclude_paced_or_bbb,fd_median,fractal-dimension summary features,907,14,14,2.725,1.7650000000000001,-0.2074999999999999,5,9,0,decrease,0.6428571428571429,0.118896484375,-0.4857142857142857,-0.9100000000000001,0.13,0,adequate_sample_size,decrease,-0.16249999999999998,0.65,0.08969497680664062,-0.4380952380952381,1,1,1.3255645812954535
exclude_paced_or_bbb,entropyProfiled_standardDeviation_sampleEntropy,entropy-profile aggregate features,907,14,14,0.165,0.15,-0.02000000000000001,2,9,3,decrease,0.6428571428571429,0.05023302822033749,-0.6666666666666666,-0.04999999999999999,0.0,0,adequate_sample_size,decrease,-0.015,0.55,0.0957872702101189,-0.5047619047619047,1,1,0.5244227976238006
exclude_any_af,kurtosis,time-domain statistics,874,14,14,4.9425,2.765,0.8124999999999998,10,4,0,increase,0.7142857142857143,0.2412109375,0.37142857142857144,-0.20499999999999996,1.7299999999999986,0,adequate_sample_size,increase,0.9924999999999997,0.75,0.03623390197753906,0.5333333333333333,1,1,6.657051113333684
exclude_any_af,HRV_MeanNN,HRV,874,14,14,657.40267265,642.4071739,20.759493749999933,11,3,0,increase,0.7857142857142857,0.153076171875,0.44761904761904764,1.601366999999982,65.73329710000007,1,adequate_sample_size,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,2.8790357296599227
exclude_any_af,HRV_pNN50,HRV,874,14,14,44.7382946925,28.681047425,-6.249112599999999,5,9,0,decrease,0.6428571428571429,0.153076171875,-0.44761904761904764,-20.20221367,5.239157904999999,0,adequate_sample_size,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,1,1,5.745704467353952
exclude_any_af,entropyProfiled_maximum_sampleEntropy,entropy-profile aggregate features,874,14,14,2.3825000000000003,2.3425000000000002,-0.17250000000000004,5,8,1,decrease,0.5714285714285714,0.24886387493792206,-0.3626373626373626,-0.6149999999999998,0.08000000000000007,0,adequate_sample_size,decrease,-0.25500000000000017,0.65,0.034669963150986444,-0.5672514619883041,1,1,7.178083052875737
exclude_any_af,fd_minimum,fractal-dimension summary features,874,14,14,0.01,0.01,0.0,2,3,9,no_change,0.6428571428571429,0.5879367461735663,-0.26666666666666666,0.0,0.0,0,adequate_sample_size,no_change,0.0,0.55,0.06661636996862676,-0.6666666666666666,1,1,8.825709753480375
exclude_any_af,QRS_mean,ECG morphology and signal energy,874,14,14,0.159162575,0.18750395025,0.010082016750000006,8,6,0,increase,0.5714285714285714,0.10400390625,0.5047619047619047,-0.0014142014999999897,0.03041363349999998,0,adequate_sample_size,increase,0.01035768875000001,0.6,0.023950576782226562,0.5714285714285714,1,1,4.342438480528789
exclude_any_af,fuzzyEntropy,entropy and complexity,874,14,14,0.265,0.25,-0.01999999999999999,3,10,1,decrease,0.7142857142857143,0.15158090848642497,-0.45054945054945056,-0.09000000000000002,0.0,0,adequate_sample_size,decrease,-0.01999999999999999,0.65,0.06399596863607887,-0.49707602339181284,1,1,2.368600893415785
