feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size
entropyProfiled_median_sampleEntropy,entropy-profile aggregate features,20,0.02,0.02,0.0,0.0,7,4,9,no_change,0.45,0.4973466588212234,0.22727272727272727,0.0,0.007499999999999949,0,2,0.22727272727272727
fisherInfo,fractal and nonlinear dynamics,20,0.5,0.4875,0.0,0.0,9,9,2,tie_or_mixed,0.45,0.4985342407499642,-0.18128654970760233,-0.0275,0.01,0,0,0.18128654970760233
hjorthMobility,fractal and nonlinear dynamics,20,0.485,0.45499999999999996,0.005,0.9090909090909098,10,9,1,increase,0.5,0.5062190413776009,-0.1736842105263158,-0.05499999999999995,0.025,0,0,0.1736842105263158
hjorthComplexity,entropy and complexity,20,1.83,1.845,-0.04749999999999995,-2.701060001944957,7,12,1,decrease,0.6,0.5458845697561467,-0.15789473684210525,-0.06,0.027500000000000052,0,0,0.15789473684210525
HRV_SDNN,HRV,20,48.6213296075,48.490025630000005,-1.6762685174999987,-4.035840949799637,9,11,0,decrease,0.55,0.5705966949462891,-0.1523809523809524,-15.0880950525,2.630836435000001,0,0,0.1523809523809524
renyiEntropy,entropy and complexity,20,-8.895,-8.92,0.05499999999999965,0.5846735652246157,11,8,1,increase,0.55,0.5731301472598336,0.14736842105263157,-0.12000000000000005,0.19000000000000034,0,0,0.14736842105263157
median,time-domain statistics,20,0.01,0.0,0.0,0.0,6,7,7,tie_or_mixed,0.35,0.5961126657233238,-0.16483516483516483,-0.01,0.00499999999999995,0,2,0.16483516483516483
HRV_RMSSD,HRV,20,77.07343222,73.3548031,0.445869794999993,0.8143534551644753,10,10,0,tie_or_mixed,0.5,0.6476554870605469,-0.12380952380952381,-23.241322977499998,3.6327494724999987,0,0,0.12380952380952381
minimum,time-domain statistics,20,-0.55,-0.6,0.005,0.4098360655737709,10,9,1,increase,0.5,0.6723162484711958,0.11052631578947368,-0.054999999999999896,0.03250000000000005,0,0,0.11052631578947368
entropyProfiled_average_sampleEntropy,entropy-profile aggregate features,20,0.05,0.05,0.0,0.0,5,5,10,no_change,0.5,0.7202301969573564,-0.12727272727272726,0.0,0.0,0,0,0.12727272727272726
