feature,feature_family,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,median_percent_change,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,n_percent_change_unstable,abs_rank_biserial_effect_size,wilcoxon_p_fdr_global,wilcoxon_p_fdr_family,global_fdr_significant,family_fdr_significant,raw_p_less_0_05,candidate_support_tier_preliminary
spectralEntropy,entropy and complexity,20,4.9399999999999995,4.8425,-0.0500000000000002,-0.9532545383405854,10,10,0,tie_or_mixed,0.5,0.3410214366810602,-0.2428571428571428,-0.2800000000000002,0.1149999999999997,0,0,0.2428571428571428,0.8060506685188696,0.716412684074792,0,0,0,exploratory
R_amp_std,ECG morphology and signal energy,20,0.8313570487499999,0.704156738,-0.052887883,-6.841129505044634,9,11,0,decrease,0.55,0.4304332733154297,-0.2095238095238095,-0.2012245829999999,0.0774216672499999,0,0,0.2095238095238095,0.9077031086770774,0.5380415916442871,0,0,0,exploratory
entropyProfiled_kurtosis_sampleEntropy,entropy-profile aggregate features,20,97.2525,99.465,3.5999999999999943,3.509987495778184,11,9,0,increase,0.55,0.4304332733154297,0.2095238095238095,-4.63000000000001,16.20499999999999,0,0,0.2095238095238095,0.9077031086770774,0.5683961815099696,0,0,0,exploratory
singularValueDecompositionEntropy,entropy and complexity,20,1.13,1.1050000000000002,0.0,-0.0742651657285804,10,10,0,tie_or_mixed,0.5,0.4663884458106656,-0.1857142857142857,-0.0574999999999999,0.025,0,0,0.1857142857142857,0.9077031086770774,0.716412684074792,0,0,0,exploratory
lempelZivComplexity,entropy and complexity,20,2.0,2.0,0.0,0.0,5,6,9,no_change,0.45,0.4760334929424296,-0.2424242424242424,-0.75,0.0,0,0,0.2424242424242424,0.9077031086770774,0.716412684074792,0,0,0,exploratory
entropyProfiled_median_sampleEntropy,entropy-profile aggregate features,20,0.02,0.02,0.0,0.0,7,4,9,no_change,0.45,0.4973466588212234,0.2272727272727272,0.0,0.0074999999999999,0,2,0.2272727272727272,0.9077031086770774,0.5683961815099696,0,0,0,exploratory
fisherInfo,fractal and nonlinear dynamics,20,0.5,0.4875,0.0,0.0,9,9,2,tie_or_mixed,0.45,0.4985342407499642,-0.1812865497076023,-0.0275,0.01,0,0,0.1812865497076023,0.9077031086770774,0.7593285620664013,0,0,0,exploratory
hjorthMobility,fractal and nonlinear dynamics,20,0.485,0.4549999999999999,0.005,0.9090909090909098,10,9,1,increase,0.5,0.5062190413776009,-0.1736842105263158,-0.0549999999999999,0.025,0,0,0.1736842105263158,0.9077031086770774,0.7593285620664013,0,0,0,exploratory
hjorthComplexity,entropy and complexity,20,1.83,1.845,-0.0474999999999999,-2.701060001944957,7,12,1,decrease,0.6,0.5458845697561467,-0.1578947368421052,-0.06,0.0275,0,0,0.1578947368421052,0.9313364892972296,0.716412684074792,0,0,0,exploratory
HRV_SDNN,HRV,20,48.6213296075,48.490025630000005,-1.6762685174999987,-4.035840949799637,9,11,0,decrease,0.55,0.5705966949462891,-0.1523809523809524,-15.0880950525,2.630836435000001,0,0,0.1523809523809524,0.9313364892972296,0.6476554870605469,0,0,0,exploratory
renyiEntropy,entropy and complexity,20,-8.895,-8.92,0.0549999999999996,0.5846735652246157,11,8,1,increase,0.55,0.5731301472598336,0.1473684210526315,-0.12,0.1900000000000003,0,0,0.1473684210526315,0.9313364892972296,0.716412684074792,0,0,0,exploratory
median,time-domain statistics,20,0.01,0.0,0.0,0.0,6,7,7,tie_or_mixed,0.35,0.5961126657233238,-0.1648351648351648,-0.01,0.0049999999999999,0,2,0.1648351648351648,0.9393290490185708,0.9256271491017656,0,0,0,exploratory
HRV_RMSSD,HRV,20,77.07343222,73.3548031,0.445869794999993,0.8143534551644753,10,10,0,tie_or_mixed,0.5,0.6476554870605469,-0.1238095238095238,-23.2413229775,3.6327494724999982,0,0,0.1238095238095238,0.9626522350658362,0.6476554870605469,0,0,0,exploratory
minimum,time-domain statistics,20,-0.55,-0.6,0.005,0.4098360655737709,10,9,1,increase,0.5,0.6723162484711958,0.1105263157894736,-0.0549999999999998,0.0325,0,0,0.1105263157894736,0.9626522350658362,0.9256271491017656,0,0,0,exploratory
entropyProfiled_average_sampleEntropy,entropy-profile aggregate features,20,0.05,0.05,0.0,0.0,5,5,10,no_change,0.5,0.7202301969573564,-0.1272727272727272,0.0,0.0,0,0,0.1272727272727272,0.9626522350658362,0.7202301969573564,0,0,0,exploratory
fd_variance,fractal-dimension summary features,20,406.5925,405.44000000000005,-18.897500000000008,-4.053052354935056,8,12,0,decrease,0.6,0.7561664581298828,-0.0857142857142857,-68.84749999999998,34.454999999999984,0,0,0.0857142857142857,0.9626522350658362,1.0,0,0,0,exploratory
petrosianFd,fractal and nonlinear dynamics,20,1.02,1.02,0.0,0.0,4,4,12,no_change,0.6,0.763024600552995,0.1111111111111111,0.0,0.0,0,0,0.1111111111111111,0.9626522350658362,0.915629520663594,0,0,0,exploratory
distributionEntropy,entropy and complexity,20,0.83,0.83,0.0,0.0,7,9,4,decrease,0.45,0.7758498559997214,-0.0808823529411764,-0.0125,0.015,0,0,0.0808823529411764,0.9626522350658362,0.8405177356132087,0,0,0,exploratory
skewness,time-domain statistics,20,-0.305,-0.21,0.0424999999999999,3.6062779765137822,11,9,0,increase,0.55,0.7841262817382812,-0.0761904761904762,-0.3124999999999999,0.1949999999999999,0,0,0.0761904761904762,0.9626522350658362,0.9256271491017656,0,0,0,exploratory
fd_standardDeviation,fractal-dimension summary features,20,20.135,20.137500000000003,-0.4800000000000004,-2.0578285025895173,8,12,0,decrease,0.6,0.8123550415039062,-0.0666666666666666,-1.4025,1.1599999999999984,0,0,0.0666666666666666,0.9626522350658362,1.0,0,0,0,exploratory
meanAbsoluteValue,time-domain statistics,20,0.12,0.11,-0.0099999999999999,-6.9047619047619015,8,11,1,decrease,0.55,0.8243083271555138,-0.0578947368421052,-0.01,0.01,0,0,0.0578947368421052,0.9626522350658362,0.9256271491017656,0,0,0,exploratory
permutationEntropy,entropy and complexity,20,2.3725,2.3425,0.03,1.3797692990239587,12,7,1,increase,0.6,0.8405177356132087,-0.0526315789473684,-0.1074999999999999,0.0524999999999999,0,0,0.0526315789473684,0.9626522350658362,0.8405177356132087,0,0,0,exploratory
variance,time-domain statistics,20,0.03,0.03,0.0,0.0,5,7,8,no_change,0.4,0.8442232365389633,-0.0641025641025641,-0.0099999999999999,0.0,0,2,0.0641025641025641,0.9626522350658362,0.9256271491017656,0,0,0,exploratory
fd_maximum,fractal-dimension summary features,20,458.5475,450.5825,-5.707499999999981,-2.251785406046744,10,10,0,tie_or_mixed,0.5,0.8694877624511719,0.0476190476190476,-78.08249999999998,91.6475,0,0,0.0476190476190476,0.9626522350658362,1.0,0,0,0,exploratory
standardDeviation,time-domain statistics,20,0.1775,0.18,0.0,0.0,7,7,6,tie_or_mixed,0.35,0.8751691459232763,0.0476190476190476,-0.0099999999999999,0.0075,0,0,0.0476190476190476,0.9626522350658362,0.9256271491017656,0,0,0,exploratory
QRS_std,ECG morphology and signal energy,20,0.03713810025,0.0353267517499999,-0.000865138,-3.091835938943172,10,10,0,tie_or_mixed,0.5,0.8983173370361328,0.0380952380952381,-0.0042960915,0.0052235365,0,0,0.0380952380952381,0.9626522350658362,0.8983173370361328,0,0,0,exploratory
fd_skewness,fractal-dimension summary features,20,9.6225,8.709999999999999,0.0225000000000002,-0.7523293371002038,10,10,0,tie_or_mixed,0.5,0.8983173370361328,0.0380952380952381,-1.2900000000000014,2.744999999999999,0,0,0.0380952380952381,0.9626522350658362,1.0,0,0,0,exploratory
detrendedFluctuation,fractal and nonlinear dynamics,20,0.515,0.5275000000000001,0.0,0.0,7,9,4,decrease,0.45,0.9176178742687192,-0.0294117647058823,-0.0349999999999999,0.0125,0,0,0.0294117647058823,0.9626522350658362,0.9176178742687192,0,0,0,exploratory
positiveToNegativeSampleRatio,time-domain statistics,20,1.1075000000000002,1.0475,-0.005,-0.2196382428940571,10,10,0,tie_or_mixed,0.5,0.9256271491017656,0.0238095238095238,-0.1324999999999999,0.1949999999999999,0,0,0.0238095238095238,0.9626522350658362,0.9256271491017656,0,0,0,exploratory
fd_kurtosis,fractal-dimension summary features,20,163.885,140.755,1.035,-2.5340139675328666,10,10,0,tie_or_mixed,0.5,0.956329345703125,0.019047619047619,-52.60500000000006,47.7325,0,0,0.019047619047619,0.9750809015012255,1.0,0,0,0,exploratory
fd_bandPower,fractal-dimension summary features,20,0.0,0.0,0.0,,0,0,20,no_change,1.0,1.0,0.0,0.0,0.0,0,20,0.0,1.0,1.0,0,0,0,exploratory
