feature_family,n_features,n_raw_p_less_0_05,n_global_fdr_significant,n_family_fdr_significant,min_raw_p,min_global_fdr_p,min_family_fdr_p
ECG morphology and signal energy,5,1,0,0,0.0239505767822265,0.43300640479607355,0.1197528839111325
HRV,4,1,0,0,0.026641845703125,0.43300640479607355,0.1063385009765624
entropy-profile aggregate features,8,1,0,0,0.0346699631509864,0.43300640479607355,0.2773597052078912
time-domain statistics,10,1,0,0,0.036233901977539,0.43300640479607355,0.36233901977538996
entropy and complexity,10,0,0,0,0.0639959686360788,0.43300640479607355,0.311622370582791
fractal-dimension summary features,9,0,0,0,0.0666163699686267,0.43300640479607355,0.3419609069824218
fractal and nonlinear dynamics,6,0,0,0,0.1908721882461004,0.6203346117998262,0.7593285620664013
